DOI,nouns
10.1038/NNANO.2010.6,quantum dot|quantum bit|quantum cryptography|diamond|photon|source|light|source|photon|technology|communication|device|fluorescent|dye|carbon|none|photon|flux|room|temperature|gate|luminescent|centre|alternative|nitrogen|vacancy|centre|spin|luminescent|centre|diamond|crystal|disadvantage|photon|couple|photon|source|nitrogen|vacancy|centre|diamond|nanowire|flux|diamond|device|power|class|device|information|process|diamond|impact|probe|microscopy
10.1021/nl101662v,nitrogen vacancy|nitrogen vacancy|couple|center|crystal|cavity|couple|crystal|nanocavity|photon|emitter|scan|cavity|sample|position|cavity|emitter|nanoscale|resolution|power|nanocavity|center|diamond|emitter|electron|spin|qubit
10.1016/j.jlumin.2009.12.004,couple|defect|center|nanostructure|nitrogen|vacancy|defect|center|diamond|candidate|number|field|optic|quantum|information|photon|generation|spin|qubit|gate|defect|center|nanostructure|metal|particle|microcavitie|assembly|structure|manipulation|field|probe|enhancement|photon|emission|gold|nanosphere|couple|diamond|nanocrystal|mode|microsphere|resonator|crystal|cavity|prototype|element|control|generation|transfer|photon|level|quantum|emitter|right
10.1088/1367-2630/12/6/063015,josephson junction|quantum computing|quantum computing|quantum computing|quantum computing|qubit|chip|microwave|photon|transmission|line|resonator|chip|qubit|optic|control|josephson|device|chip|advantage|nonlinearitie|qubit|interaction|gate|error|rate|scheme|josephson|device|decoherence|technology|scheme|milestone|qubit
10.1016/j.ijleo.2009.03.006,quantum network|quantum state|quantum state|waveguidance|simulation|cavity|raman|conversion|spin|qubit|photon|qubit|channel|qubit|transmission|laser|field|atom|node|cavity|qubit|node|channel|spin|state|nanodot|deal|phenomena|waveguidance|simulation|transmission|protocol|transfer|entanglement|nanodot|qubit|gmbh|right
10.1007/s11433-010-4014-1,superconducting qubit|feshbach|resonance|feshbach|resonance|resonance|atom|scatter|channel|state|channel|resonance|phenomenon|collision|particle|transport|massless|particle|photon|resonator|array|cavity|level|tls|tls|array|state|setup|transmission|feshbach|resonance|state|couple|cavity|crystal|transmission|line|numerical|simulation|domain|assumption
10.1088/0031-8949/2010/T140/014014,qubit|entanglement|dynamic|environment|behaviour|entanglement|noninteracte|qubit|environment|condition|cavity|resonant|qubit|transition|frequency|nonperfect|band|gap|pbg|revival|retardation|entanglement|loss|cavity|qubit|detune|entanglement|pbg
10.1088/0256-307X/27/3/030302,quantum|phase|gate|qubit|protocol|qubit|phase|gate|qubit|mode|cavity|idea|qubit|phase|gate|interaction|number|qubit|addition|influence|cavity|decay|emission|gate|fidelity|photon|loss|probability|calculation
10.1103/PhysRevA.82.042327,quantum gate|quantum network|quantum network|cluster state|control|dynamic|qubit|couple|qubit|node|cavity|fiber|pair|transition|elimination|state|state|qubit|qubit|interaction|quantum|information|process|pair|qubit|qubit|gate|qubit|pair|choice|parameter|field|pair|transition|generation|spin|chain|requirement|cavity|fiber|couple|detune|transition
10.1103/PhysRevLett.105.220501,quantum communication|quantum network|transducer|distance|scheme|qubit|qubit|light|interaction|resonator|response|qubit|quantum|interface|range|state|spin|state|transfer|protocol|node|transfer|fidelity|condition
10.1364/OE.18.025786,quantum memory|quantum memory|quantum memory|vapor|polarization|qubit|realization|vapor|polarization|qubit|polarization|qubit|transparency|ensemble|rubidium|atom|vapor|cell|quantum|tomography|fidelity|storage|society|america
10.1142/S0219749910006435,quantum computer|quantum communication|quantum error correction|computation|architecture|semiconductor|nanophotonic|scale|cost|communication|resource|requirement|demand|technology|architecture|fault|computer|photon|gate|communication|resource|overhead|computer|gate|photon|quantum|memory|communication|resource|presence|loss|compromise|architecture|semiconductor|spin|qubit|laser|pulse|waveguide|cavity|combination|entanglement|mechanism|resource|requirement|gate|part|speed|gate|semiconductor|nanophotonic|hardware|cluster|state|fault|tolerance|architecture|technology|combination|potential
10.1103/PhysRevA.82.030305,quantum algorithm|cluster state|cluster state|jozsa|bernstein|vazirani|algorithm|version|jozsa|bernstein|vazirani|resource|qubit|resource|state|qubit|version|purpose|chip|setup
10.1103/PhysRevA.82.012309,quantum communication|quantum memory|quantum memory|compression|quantum|information|photon|photon|echo|compression|decompression|pulse|quantum|information|photon|echo|broaden|absorption|line|medium|absorption|profile|recall|efficiency|unity|quantum|information|qubit|insight|atom|interaction|view|network|compression|decompression|role|qubit|rate|mapping|quantum|information|carrier|bandwidth|memory|bandwidth
10.1038/NPHOTON.2010.83,quantum dot|quantum dot|quantum dot|quantum dot|quantum network|spin|echo|photon|rely|matter|qubit|memory|spin|electron|semiconductor|matter|qubit|spin|control|gate|gate|spin|picosecond|order|magnitude|obstacle|information|spin|dephase|variation|background|spin|echo|decoherence|electron|spin|nanosecond|microsecond|ratio|decoherence|promise|quantum|information|repeater
10.1364/OE.18.024423,quantum state|state|tomography|qubit|modulator|tomography|qubit|pair|photon|slit|setup|light|modulator|tool|state|density|matrix|theory|quantum|tomography|density|matrix|qubit|state|variable|society|america
