단어,문서개수
ability,26
absence,5
absorption,15
abstraction,1
acceleration,1
access,31
account,12
accuracy,14
achievable,1
achievedby,1
achievement,2
act,1
action,2
activation,2
activity,1
actuator,1
adaptability,1
adaptation,1
adaptive,3
addition,22
address,6
addressability,1
adiabatic quantum,2
adiabaticity,1
adjacency,1
adjoint,1
adjustment,2
admittance,1
advance,11
advancement,6
advantage,47
advent,1
adversary,1
afc,1
affection,1
agreement,30
aid,1
aim,2
air,4
aklt,1
alas,1
algaas,1
algaasoi,1
algo,2
algorithm,33
align,1
alignment,4
alkoxide,1
alkyl,1
alleviate,1
allow,1
ally,1
aln,1
alo,1
alpha,2
alphabet,1
alternative,5
aluminium,1
aluminum,2
ambiguity,1
america,11
amount,17
amplification,5
amplifier,2
amplitude,24
analog,6
analogue,2
analogy,4
analyte,1
analyzer,4
ancilla,7
ancillae,1
angle,5
anisotropic,2
anisotropy,1
anneal,3
anomaly,1
ansatz,1
antibunche,2
anticipation,1
anticorrelation,1
antisymmetric,2
apbg,1
aperture,2
apic,1
apparatus,4
appeal,1
appearance,1
applicability,5
approximation,10
apqr,1
architecture,53
area,13
arise,1
arm,1
array,29
arrival,2
arrow,1
arsenide,2
art,27
article,18
artificial,1
arxiv,1
ascella,1
aspect,3
aspheric,1
assembly,2
assignment,2
assistance,1
associate,1
assumption,4
astronomy,2
aswell,1
atom,60
attack,4
attainment,2
attempt,1
attention,10
attenuation,6
attenuator,1
attribute,1
attribution,6
audio,1
auger,2
augmentation,1
authentication,1
author,35
auto,2
autocorrelation,2
availability,5
avalanche,1
avenue,5
axis,4
azimuth,1
backbone,1
backdrop,1
background,6
balance,1
banacloche,1
band,35
bandgap,10
bandwidth,9
bang,1
barrier,1
base,1
basednon,1
baseline,1
basis,44
bath,7
beam,25
beamsplitter,3
bed,2
behavior,22
behaviour,4
belief,2
bell state,16
benchmark,2
benchmarke,2
benefit,7
berlin,1
bernoulli,1
bernstein,1
bespoke,1
bethe,1
bfec,1
biard,1
bias,10
bic,1
biexciton,1
bilayer,2
bilocality,1
bin,27
bind,10
binomial,1
bipartite,1
biphoton,3
birefringence,2
bistability,1
bit,21
bloch,13
block,25
blockade,6
blueprint,2
boaron,1
body,15
bond,4
boron,5
boson,7
bosonic,1
bosonsample,1
boston,1
bottleneck,2
boundary,4
bpqm,1
bpsk,1
bragg,2
brain,1
break,4
breathe,3
bridge,4
brightness,10
brillouin,1
brink,1
broadband,4
broaden,2
brown,1
bsm,2
budget,2
buffer,1
build,23
buildup,1
bulk,7
bunch,3
burst,1
bus,3
busch,1
butterfly,1
cable,1
calculation,11
calibration,1
camera,1
cancellation,1
candidate,28
capability,29
capacity,21
capture,1
carbide,11
carbon,4
carlo,1
carrier,9
carve,2
cascade,1
cate,1
category,2
cauchy,1
causal,3
causality,1
cause,1
cavity,105
cell,4
cent,3
center,43
centimeter,1
centre,12
certaintycan,1
certification,9
cesium,1
chain,8
challenge,61
change,8
channel,54
chaos,1
character,4
characterisation,1
characteristic,12
characterization,11
charge,9
charlie,1
chave,1
check,3
chem,1
chemical,2
chemistry,1
chen,1
chine,1
chip,70
chirality,4
choice,12
cie,1
cir,1
circle,1
circuit,99
citation,1
clad,1
class,18
classicality,1
classification,6
classifier,3
clauser,2
client,2
clifford,2
clock,8
clone,2
cloner,1
closure,1
cloud,2
cluster,8
cluster state,20
cmo,2
cmos,8
cnot,9
coalescence,1
cod,3
code,21
codeword,1
codification,1
coefficient,5
coherence,49
coil,1
coin,1
coincidence,6
cointegration,1
collapse,1
collection,9
collision,2
colocalization,1
color,20
colour,5
comb,7
combination,18
commercialization,1
common,6
communication,52
community,1
commute,1
compactness,2
comparison,7
compatibility,7
compensation,3
competition,1
compilation,1
compile,1
complex,3
complexity,15
compo,1
component,34
composition,1
comprehension,1
compression,1
computation,65
compute,1
computer,20
concatenation,3
concentration,2
concept,15
conception,1
conclusion,3
concurrence,6
condition,32
conduction,2
conductivity,1
conference,1
confidence,2
configuration,17
confine,1
confinement,2
conflict,1
confront,1
conimunication,1
conjecture,1
conjunction,1
connection,7
connectivity,12
connector,1
consequence,5
conservation,1
consideration,6
consist,1
consistency,3
constant,1
constraint,11
construction,15
consumption,2
contact,1
contactless,1
contamination,1
contender,1
content,7
contention,1
context,8
contextuality,1
continuity,1
continuum,5
contrast,18
contribution,5
control,91
controllability,2
controller,3
convenience,1
convergence,2
conversion,33
converter,1
cool,3
cooper,1
cooperativity,6
copy,10
core,6
corner,2
cornerstone,3
correction,23
correlation,39
cost,21
coulomb,3
count,7
counterdiabatic,1
counterintuitive,1
counterpart,8
couple,84
coupler,16
course,1
covariance,1
cover,1
coverage,1
covey,1
cpf,1
cpfn,1
cqubit,2
crack,1
creation,14
criterion,6
criticality,2
cross,7
crossover,2
crosstalk,4
crux,1
cryo,1
cryocooler,1
cryptography,4
crystal,51
cuit,1
cumme,7
cumming,1
current,4
curvature,1
custom,1
cutoff,3
cycle,3
cyclicity,1
cycling,2
dark,2
database,1
dataset,1
date,7
datum,27
davydov,2
day,3
daylight,1
daytime,1
dbc,1
dbm,2
death,1
decade,4
decay,13
decode,1
decoder,3
decoherence,33
decomposer,1
decomposition,4
decouple,7
decoy,2
decrease,5
defect,25
definition,3
degeneracy,2
degenerate,1
degradation,3
degree,54
delay,9
delivery,3
delta,1
demand,18
demonstration,42
demultiplexe,1
density,24
departure,1
dependence,9
dependency,1
dephase,8
deployment,2
depolarization,1
deposition,1
depth,10
der,3
derivation,1
description,8
designer,1
desirability,1
desktop,1
destination,1
detail,9
detection,46
detector,20
deterioration,1
deterministic,1
deterministically,1
detune,9
deutsche,1
developer,1
deviation,6
device,104
dfg,1
dft,1
diagram,2
diamond,35
dichalcogenide,1
dichroism,1
dicke,3
dielectric,3
difference,9
differential,1
difficulty,2
diffraction,3
diffusion,1
digit,2
dilation,1
dilution,2
dimension,20
dimensionality,4
dimer,4
dimerization,1
diode,5
dioxide,1
dip,2
dipole,6
direction,12
directionality,3
discipline,1
discord,1
discovery,2
discrete,1
discrimi,1
discrimination,2
discussion,1
disk,1
disorder,4
disparity,1
dispersion,11
displacement,4
display,2
dissemination,1
dissipation,7
dissipative,1
dissipator,1
distance,58
distillation,2
distinguishability,2
distortion,3
distribution,53
disturbance,2
disulfide,1
dit,1
divacancy,1
divalent,1
divide,1
divisibility,1
division,5
dlcz,1
dof,10
doi,1
dolinar,1
domain,21
dominate,1
donor,2
door,3
dopant,1
doppler,2
dose,1
dot,12
doublon,1
downconversion,2
downlink,1
dozen,2
draw,1
driv,1
drive,10
driver,1
droplet,1
dropletlike,1
duan,3
duplex,1
duration,6
duty,1
dyke,1
dynamic,38
earth,11
ease,2
easy,1
eavesdropper,1
eavesdropping,4
ebit,1
echo,3
edge,14
effectiveapproache,1
effectiveness,3
efficacy,3
efficiency,62
effort,7
eigenenergie,1
eigenfrequencie,2
eigenmode,1
eigensolver,4
eigenspace,1
eigenstate,5
eigenvalue,4
eigenvector,1
eit,2
ejection,1
electric,1
electro,13
electrode,4
electrodynamic,21
electrometry,1
electron,41
electronuclear,1
element,27
elementary,2
eliminate,1
elimination,2
ellipsoid,1
embe,1
emergence,4
emission,49
emitter,62
emphasis,1
employ,1
enable,2
enabler,1
encode,32
encoder,3
encryption,3
encryptor,1
end,7
endeavor,2
energy,38
engineering,19
enhancement,27
ensemble,27
entangle,2
entanglement,143
entirety,1
entity,1
entropic,1
entropy,6
environment,23
enz,2
epr,1
epsilon,4
equation,9
equilibrium,2
equivalence,1
equivalency,1
equivalent,2
era,3
eraser,1
erasure,2
erbium,4
ergodicity,2
error,78
errormitigation,1
establishment,1
estimate,3
estimation,12
eta,1
etch,1
evaluation,2
evanescent,1
event,6
evidence,4
evolution,20
examination,1
exceed,2
excess,3
exchange,7
excitation,31
exciton,10
execution,4
exemption,1
exhibit,1
existence,4
expansion,2
expectation,3
expense,1
experience,2
experiment,60
experimentalresult,1
experimentation,1
experimenter,1
explainability,1
exploration,4
explore,1
exponent,1
exponential,1
exposure,1
expressibility,2
expression,4
extensibility,1
extension,9
extent,2
extinction,4
extraction,5
extractor,1
extrapolation,1
extropy,1
fabri,1
fabrication,26
fabry,1
face,2
facet,1
fact,5
factor,27
factorization,1
factory,1
fade,1
failure,4
family,5
fan,2
faraday,1
fashion,2
fault,26
fdm,1
fearn,1
feasibility,15
feature,33
feed,5
feedback,8
feedforward,4
femtometer,1
femtosecond,5
fermion,1
fermionic,3
fiber,41
fibre,15
fidelity,132
field,83
figure,2
film,12
filter,5
find,16
fingerprint,1
finite,12
flatband,1
flavor,1
flavour,1
fldw,2
flexibility,5
flight,1
flip,3
floor,2
flop,2
floquet,1
flow,2
fluctuation,11
fluorescence,10
fluorescent,1
flux,9
fly,3
focus,4
footprint,4
forefront,2
form,21
formalism,5
format,3
formation,4
formula,2
formulaalgorithm,1
formulation,2
foundation,7
foundry,1
fragility,1
fragment,1
frame,3
framework,14
fredkin,6
free,1
freedom,38
frenkel,2
frequen,1
frequency,76
fridge,1
friendliness,1
fringe,2
frog,1
fromcycle,1
front,2
fuel,1
function,26
functional,1
functionality,12
functionalization,2
fundamental,1
fusion,10
future,9
gaas,7
gab,1
gad,1
gain,7
gallium,5
game,1
gamut,1
gan,2
gap,29
garg,5
garnet,1
gas,2
gate,168
gaussian,4
gbit,1
gea,1
gedanken,1
genera,1
generalisation,1
generalization,4
generate,2
generation,97
generator,6
geodesic,1
geometrically,1
geometry,6
germanium,1
ghz,30
ghz state,10
giant,1
gigabit,1
gigahertz,6
giovannetti,1
gkp,6
glass,4
goal,9
gold,1
gottesmankitaev,1
government,1
gradient,5
graph,9
graph state,14
graphene,2
grating,3
gravitometer,1
greenberg,1
greenberger,18
grid,1
ground,21
groundbreake,1
groundwork,2
group,24
growth,4
gst,1
guide,1
hadamard,1
hafnian,1
half,2
hall,3
hamiltonian,20
hanbury,1
hand,5
handle,1
hardware,19
hasting,1
haul,1
hbar,1
hbn,2
hbsg,1
heart,3
heat,10
heating,5
heeger,4
heidi,1
height,1
helicity,1
helium,2
help,1
herald,6
herein,4
heterodyne,1
heterostructure,5
hiding,1
hierarchy,2
high,1
highlight,1
highpower,1
hilbert,2
hinge,1
history,1
hitherto,1
hofstadter,1
hole,5
holevo,2
holstein,1
holt,2
hom,1
homobilayer,1
homodyne,3
honeywell,1
hong,5
hop,4
host,14
hour,4
hqc,1
htc,1
hubbard,2
hundred,3
hurdle,3
husimiq,1
hybrid,15
hybridization,1
hydrogen,1
hydroxide,1
hyper,4
hyperdisk,1
hyperedge,1
hyperentanglement,2
hyperfine,1
hypergraph,1
hyperparallel,2
hypothesis,1
ibm,4
ibmq,1
icosahedron,1
idea,5
ideal,2
ideality,1
idealization,1
identification,5
identity,2
illumination,1
illustration,1
image,9
imbalance,1
immune,1
impact,10
impedance,2
impediment,1
imperfection,20
implantation,6
implementability,1
implication,8
importance,11
imprint,2
improvement,15
impurity,2
ina,1
inability,1
inception,1
incident,5
incompleteness,2
incorporation,1
increase,17
increment,2
independence,2
index,6
indication,2
indicator,2
indistinguishability,5
indistinguishablity,1
indium,2
industry,4
inefficiency,1
inequality,20
inevitability,1
inference,2
infidelity,3
infinite,1
infinity,1
influence,7
informatic,1
information,171
infrare,1
infrastructure,3
ingredient,9
inhibition,1
inhomogeneity,4
initialisation,1
initialization,10
initio,1
injection,1
inline,1
inp,1
input,29
insertion,1
insight,14
instability,1
instance,7
instruction,1
instrument,1
insulator,9
integrability,1
integration,36
intelligence,3
intensity,11
interact,1
interaction,95
intercept,1
interchip,1
interconnect,9
interconnection,3
interconversion,2
intercrosse,1
interest,21
interface,61
interference,22
interferometer,20
interferometry,3
interior,1
interlayer,1
interlocutor,1
intermediary,1
intermode,1
internet,10
interplay,4
interpretation,3
interqubit,1
interrogation,1
interstitial,2
interval,1
intowell,1
intracavity,2
intrachip,1
intractability,1
intraqubit,1
introduction,1
invariant,1
inverse,2
inversion,1
investigation,16
inviolability,1
ion,36
ionisation,1
ionization,3
ipbg,1
iron,1
irradiation,1
ise,1
island,1
ism,1
isolation,2
isolator,1
isotropic,4
issue,10
italy,1
iteration,2
itie,1
japan,1
jayne,4
josephson,5
josephson junction,2
journal,1
jozsa,2
junction,1
kagome,1
kbit,1
kbp,2
kbps,5
kelvin,1
kernel,1
kerr,10
key,16
keyprinciple,1
khz,4
kilohertz,1
kind,6
kinetic,1
klystron,1
knowledge,5
kue,1
kurizki,1
lab,1
laboratory,1
lack,4
ladder,1
lamb,1
lambda,1
landau,3
language,1
lantern,1
laser,39
latency,1
latte,1
latter,1
lattice,15
launch,1
law,4
layer,9
layout,1
lead,1
leakage,7
learn,2
leggett,5
lemos,1
len,3
length,14
lett,5
letter,5
level,72
leviton,1
lgi,1
lgis,1
library,1
license,6
lie,2
lieb,1
life,2
lifetime,19
ligand,1
light,60
like,1
likelihood,2
limit,25
limitation,12
lindbladian,1
line,23
linear,9
linearity,1
linewidth,9
link,22
literature,6
lithium,9
lithography,2
liu,1
live,1
load,5
locality,2
localization,3
location,6
logic,14
look,1
loop,3
loophole,4
loqc,1
loss,69
lot,1
loudon,1
lower,2
lsim,1
luminescence,3
lzs,1
maccone,1
mach,9
machine,9
macro,1
macrorealism,3
magnet,2
magneto,2
magnetometry,1
magnitude,26
magnon,2
magnonic,1
maintenance,1
majorana,2
majorana fermion,1
majority,1
malz,1
management,1
mandel,6
manifestation,2
manifold,1
manipulatable,1
manipulate,1
manipulation,31
manner,6
manufacture,2
manuscript,1
map,4
mapper,1
mapping,5
markov,2
markovian,1
maser,1
mask,3
mass,2
master,5
match,2
material,40
mation,1
matrix,25
matter,36
maturity,1
maximum,4
mbps,1
mbqc,4
mcp,1
mdi,2
mean,5
measurability,1
measure,13
measurement,131
mechanic,19
mechanism,13
mediation,1
mediator,2
medium,7
megahertz,3
mele,1
membrane,8
memory,48
memoryless,1
ment,1
merit,4
mesh,2
message,4
metadata,1
metal,10
metamaterial,2
metasurface,1
meter,2
methodology,4
methyl,1
metric,3
metrology,11
mev,1
mfi,1
mfs,1
mhz,18
michelson,1
micro,1
microcavitie,4
microcavity,7
microcomb,2
microdisk,1
microelectronic,2
micrometer,2
micrometre,1
microre,1
microresonator,4
microscale,1
microscope,3
microscopy,2
microsecond,1
microstructure,1
microwave,48
midcircuit,1
middle,1
milestone,6
millikelvin,4
millimeter,2
million,5
millisecond,1
min,3
mini,1
miniaturization,4
mining,1
minute,3
mirror,6
misalignment,1
miscalibration,1
mismatch,1
mission,1
misuse,1
mitigation,7
mix,8
mobile,1
mobility,2
mode,102
model,3
modification,3
modularity,1
modulation,15
modulator,8
module,9
molecule,14
mollow,1
molmer,2
molybdenum,1
moment,6
momenta,1
momentum,8
monolayer,3
monovacancy,1
monte,1
motion,7
move,1
movement,1
mpn,1
mps,1
mrs,1
multi,4
multiaxis,1
multicavity,1
multilayer,1
multimodality,1
multimode,10
multinode,2
multiparticle,2
multipartite,18
multiparty,1
multiphoton,10
multiplex,2
multiplexing,13
multiplication,2
multiport,1
multiqubit,17
multiqudit,1
mzi,3
name,1
nano,3
nanobeam,2
nanocavitie,2
nanocavity,2
nanodevice,1
nanodiamond,3
nanodisk,1
nanofabrication,6
nanometer,2
nanoparticle,1
nanophotonic,27
nanoscale,5
nanosecond,1
nanostructure,10
nanotechnologist,1
nanowire,2
narrow,1
nation,1
native,1
nature,12
need,16
negativity,5
neighbor,6
neighborhood,1
nent,1
net,1
network,68
neural,2
neutral atom,4
new,1
next,1
niobate,7
niobium,1
nisq,2
nist,1
nitride,13
nitrogen,12
nitrogen vacancy,4
nms,1
node,34
noise,68
nonadaptive,1
noncavity,1
nonconvex,1
nonconvexity,1
nonequilibrium,2
nonequilibriumness,1
nonexcitation,1
nonhybrid,1
noninteracte,2
nonlinearitie,14
nonlinearity,10
nonlinearoperation,1
nonlocality,4
nonluminescent,1
nonoise,1
nonreciprocity,3
nonretrocausal,1
nontrivial,9
nonzero,1
nucleus,2
number,81
numerical,5
oam,2
oaqd,1
object,2
observable,7
observation,15
observer,1
obstacle,5
occupancy,2
occupation,2
occurrence,1
odmr,1
offer,1
offset,1
ofm,1
ofpt,1
omega,3
omia,1
omit,1
onchip,1
ondemand,1
one,8
operate,2
operational,1
operator,23
opportunity,10
optic,54
optica,16
optical,1
optimization,17
optimize,1
optogenetic,1
optomechanic,3
orbit,4
order,60
orientation,5
origin,2
orthogonal,1
orthosilicate,1
orthovanadate,2
osa,9
oscillation,10
oscillator,6
outcome,14
outlook,2
output,19
overarch,1
overgrowth,1
overhead,10
overlap,1
overpass,1
overtone,2
overview,1
oxidation,1
oxide,7
oxygen,1
package,2
packaging,1
packet,5
pad,1
padua,1
pair,47
pairwise,2
paradigm,7
paradox,1
parallel,1
paralleland,1
parallelism,2
parallelization,1
parameter,58
parameterized,1
parametric,3
parity,11
part,14
particle,9
partite,3
partition,2
party,8
passage,2
past,2
patch,1
path,30
pathway,8
pattern,4
pauli,7
payload,1
pbg,3
pccs,2
pea,1
peak,4
pearson,1
peculiarity,1
pepsi,1
perceval,1
period,2
periodicity,1
permutation,2
perot,1
person,1
perspective,17
pertinence,1
perturbation,5
phase,74
phc,2
phenomena,8
phenomenon,13
phi,1
phonon,17
phononic,1
phosphate,1
phosphide,2
photocurrent,1
photoelectric,1
photoluminescence,6
photon,335
photon pair,16
phy,8
physic,11
physicist,1
physics,17
pic,7
picosecond,3
picture,3
pienaar,1
piezo,5
piezoelectric,2
piezoelectro,1
pillar,1
pin,1
pioneer,1
place,5
placement,2
planar,6
plane,3
plaquette,1
plasma,1
plasmon,3
plasmonic,1
plate,3
platform,114
ple,1
plethora,2
plusmn,1
pmd,1
pnr,2
pockel,1
podolsky,4
poincare,2
point,16
poisson,1
polarimeter,1
polarisation,1
polariton,5
polaritonic,1
polarization,72
polynomial,1
polytope,1
polytype,2
popularity,1
population,5
port,2
portability,2
position,12
possibility,13
post,3
postfabrication,1
postgrowth,1
postmeasurement,1
postprocesse,2
postselection,4
postulate,1
potassium,1
potential,43
povm,2
povms,1
power,20
practice,3
precession,2
precision,13
prediction,4
preparation,29
prepare,1
prerequisite,3
presence,17
preservability,1
preservation,7
press,6
pressure,1
prevention,1
price,1
primitive,3
princi,1
principle,38
privacy,3
proach,1
probability,39
probablity,1
probe,3
procedure,7
process,106
processor,14
product,12
production,5
profile,6
programmability,4
programming,1
progress,17
project,1
projection,6
projector,1
promise,21
proof,20
propagation,19
propensity,1
property,58
proposal,24
propriety,1
prospect,8
protection,6
protocol,97
proton,1
prototype,5
proximity,3
pseudo,1
pseudospin,1
publish,25
pulse,30
pump,16
purcell,9
purification,1
purity,13
purpose,9
pursuit,2
push,1
qber,6
qcka,1
qdm,2
qdms,1
qds,5
qed,21
qhal,1
qip,3
qis,1
qiskit,1
qkd,14
qml,1
qpbs,1
qpga,1
qram,1
qrng,1
qsdc,1
qst,3
quadrature,6
quality,32
quandela,1
quanta,2
quantification,2
quantisation,2
quantity,1
quantization,2
quantum,327
quantum algorithm,12
quantum bit,27
quantum circuit,34
quantum coherence,10
quantum communication,63
quantum computer,49
quantum computing,91
quantum cryptography,2
quantum decoherence,1
quantum device,17
quantum dot,39
quantum entanglement,16
quantum error correction,8
quantum gate,32
quantum machine learning,3
quantum measurement,7
quantum memory,27
quantum network,93
quantum optimization,2
quantum phase transition,1
quantum processor,26
quantum repeater,21
quantum sensor,5
quantum simulation,11
quantum simulator,3
quantum state,76
quantum superposition,3
quantum system,46
quantum teleportation,9
quantum walk,6
quantumness,2
quantumnetwork,1
quart,1
quarter,2
quasi,1
quasideter,1
quasiparticle,2
quaternary,1
qubit,465
qudit,17
quench,3
question,3
queue,1
ququart,3
ququat,1
ququint,1
qutrit,11
quvigint,1
qws,2
rabi,11
race,2
rack,1
radiation,10
radical,1
radio,2
radiofrequency,1
radius,2
rail,10
raman,5
ramsey,2
randomness,8
rang,1
range,50
rarity,2
rate,79
ratio,15
reach,3
reactive,1
read,5
readout,16
realisation,1
realism,2
reality,2
realization,69
realm,3
reason,3
receiver,9
reck,1
recombination,2
reconfigurability,2
reconfigurable,2
reconstruction,5
record,5
recovery,2
rectification,1
rectifier,1
recurrence,1
redefinition,1
redfield,1
reduction,11
redundancy,1
redundant,1
reemission,1
reference,8
reflection,2
reflectivity,1
reflector,1
refocus,1
refrigeration,1
refrigerator,1
regard,2
regime,32
region,7
register,12
regression,1
regulation,1
regulator,2
reichenbach,1
relation,6
relationship,3
relaxation,3
relay,1
release,2
relevance,4
reliability,3
remark,1
remedy,1
renormalization,1
repeater,7
repetition,6
replace,1
replacement,1
replicas,1
report,1
representation,6
repulsion,1
request,1
require,1
requirement,36
researcher,1
resend,1
reservoir,5
reshuffle,1
resilience,3
resistor,1
resolution,1
resonance,29
resonant,5
resonator,44
resource,81
respect,12
response,12
responsiveness,1
restriction,2
retainment,1
retrievability,1
retrieval,12
retrieve,1
retrocausality,1
rev,8
reversal,1
reverse,1
revival,4
rgs,1
rhy,2
rice,1
richness,1
right,5
ring,6
rise,12
rithm,2
roadblock,2
roadmap,2
robustness,14
rod,1
rodney,1
role,35
room,15
root,4
rosen,4
rotation,19
round,1
rout,10
route,22
router,5
routine,1
rubidium,5
rule,2
run,1
rydberg,7
sagnac,2
salpeter,1
sample,10
sapphire,2
satellite,8
satisfiability,1
saturation,2
saunder,1
saw,1
sbl,1
scalability,38
scale,80
scarce,1
scatter,10
scenario,13
scheme,105
schr,2
schrieffer,4
schrodinger,2
schwarz,1
science,21
scope,2
scratch,1
screen,1
sdm,1
search,2
second,3
secrecy,2
section,1
secure,1
security,9
seed,2
segment,3
selection,6
self,14
semiconductor,28
semimetal,1
semiperiodicity,1
sender,5
sense,25
sensitivity,8
sensor,6
separation,6
sequence,15
series,7
serve,1
server,3
set,43
setup,19
shadow,1
shahmoon,1
shape,10
shaper,1
shapiro,1
share,4
shelf,2
shift,16
shifter,3
shoot,12
shor,3
shore,1
shortcut,1
show,1
sic,8
side,2
sideband,5
siegert,1
