DOI,gate,entanglement,spin,cavity,photon,state,scheme,phase,quantum dot,polarization,mode,measurement,couple,information,crystal,atom,fidelity,cluster state,circuit,quantum state,field,source,resonator,device,protocol,computation,diamond,center,control,quantum computing,resource,channel
10.1038/NNANO.2010.6,1.0,0.0,1.58,0.0,2.5,0.0,0.0,0.0,1.77,0.0,0.0,0.0,1.63,1.05,1.69,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,5.53,0.0,0.0,13.74,0.0,0.0,0.0,0.0,0.0
10.1021/nl101662v,0.0,0.0,1.58,3.71,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,5.49,0.0,0.0,0.0,0.0
10.1016/j.jlumin.2009.12.004,1.0,0.0,1.58,1.24,1.5,0.0,0.0,0.0,0.0,0.0,1.65,0.0,3.25,1.05,1.69,0.0,0.0,0.0,0.0,0.0,3.34,0.0,2.51,0.0,0.0,0.0,5.49,8.24,1.96,0.0,0.0,0.0
10.1088/1367-2630/12/6/063015,1.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,3.69,0.0,0.0,0.0,0.0,1.96,8.49,0.0,0.0
10.1016/j.ijleo.2009.03.006,0.0,1.15,3.17,2.47,0.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.48,1.67,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,5.02
10.1007/s11433-010-4014-1,0.0,0.0,0.0,2.47,0.5,1.46,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,1.69,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02
10.1088/0031-8949/2010/T140/014014,0.0,4.61,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0256-307X/27/3/030302,4.0,0.0,0.0,2.47,0.5,0.0,0.0,5.62,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.042327,1.0,0.0,1.58,2.47,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.05,0.0,0.0,0.0,2.51,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
10.1103/PhysRevLett.105.220501,0.0,0.0,1.58,0.0,0.0,0.97,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,2.51,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1364/OE.18.025786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,1.9,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1142/S0219749910006435,4.0,1.15,1.58,1.24,1.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,7.72,0.0
10.1103/PhysRevA.82.030305,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0
10.1103/PhysRevA.82.012309,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHOTON.2010.83,2.0,0.0,11.09,0.0,0.5,0.0,0.0,0.0,7.07,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
10.1364/OE.18.024423,0.0,0.0,0.0,0.0,0.5,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.052106,0.0,3.45,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.77,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.030407,0.0,0.0,3.17,0.0,2.0,3.88,0.0,0.0,0.0,7.07,0.0,0.0,1.63,0.0,0.0,1.9,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.060502,3.0,0.0,7.92,0.0,1.5,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.250403,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.010301,5.0,0.0,0.0,0.0,2.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.96,0.0,0.0,0.0
10.2478/s11772-010-0050-7,0.0,0.0,0.0,1.24,4.5,0.97,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,1.67,4.55,0.0,5.53,0.0,0.0,0.0,0.0,1.96,2.12,0.0,0.0
10.1364/OE.18.020475,4.0,0.0,1.58,0.0,1.5,0.97,1.25,0.0,0.0,5.3,8.24,0.0,1.63,1.05,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
10.1080/15421406.2010.485118,0.0,0.0,1.58,0.0,1.5,0.49,0.0,0.0,0.0,1.77,1.65,0.0,0.0,3.15,3.39,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.085325,3.0,0.0,0.0,2.47,0.0,0.49,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,3.8,0.0,0.0,0.0,4.25,0.0,0.0
10.1103/PhysRevA.82.012304,1.0,0.0,0.0,0.0,0.5,0.97,1.25,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.104.123601,0.0,0.0,0.0,0.0,1.0,0.49,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,5.02
10.1103/PhysRevA.82.012328,1.0,0.0,1.58,0.0,0.5,2.91,0.0,0.0,0.0,1.77,1.65,7.52,0.0,0.0,0.0,0.0,1.36,2.51,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,3.86,0.0
10.1103/PhysRevA.82.024303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS1777,1.0,0.0,4.75,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,6.37,7.72,0.0
10.1073/pnas.1005720107,6.01,1.15,0.0,0.0,1.0,1.46,3.75,1.87,0.0,0.0,0.0,1.5,0.0,1.05,0.0,0.0,1.36,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/12/11/113046,0.0,8.06,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,2.12,1.93,0.0
10.1080/09500340.2010.495460,2.0,2.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature09150,1.0,0.0,9.5,1.24,0.0,0.49,1.25,0.0,0.0,1.77,0.0,0.0,3.25,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,3.69,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
10.1364/OE.18.027938,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1142/S0219749910006265,1.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,3.8,0.0,10.04,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.96,0.0,0.0,0.0
10.1103/PhysRevLett.105.093601,1.0,1.15,0.0,1.24,1.0,0.0,0.0,1.87,8.83,1.77,0.0,0.0,1.63,0.0,0.0,0.0,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.93,0.0
10.1049/el.2010.0959,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
10.1016/j.optcom.2009.10.078,2.0,0.0,0.0,0.0,1.5,0.0,1.25,1.87,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.053814,0.0,5.76,0.0,0.0,1.5,1.94,1.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.045309,0.0,0.0,3.17,1.24,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.193301,1.0,0.0,0.0,2.47,0.0,1.46,0.0,0.0,7.07,0.0,0.0,1.5,4.88,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1134/S0030400X10020037,0.0,3.45,0.0,0.0,1.0,0.0,0.0,1.87,0.0,3.53,1.65,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.062339,0.0,0.0,0.0,0.0,0.5,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.055801,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,4.51,0.0,1.05,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature10119,0.0,3.45,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHOTON.2011.52,0.0,0.0,1.58,1.24,0.5,0.49,0.0,0.0,0.0,0.0,1.65,1.5,1.63,1.05,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,1.84,0.0,1.9,10.99,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.107.053602,0.0,0.0,0.0,4.94,3.5,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature09997,0.0,0.0,0.0,1.24,0.5,0.97,0.0,0.0,0.0,1.77,0.0,0.0,0.0,3.15,0.0,3.8,1.36,0.0,0.0,1.74,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0
10.1103/PhysRevA.83.010302,0.0,0.0,0.0,1.24,0.5,0.49,1.25,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,3.8,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.9,0.0,0.0,0.0,0.0,1.93,0.0
10.1103/PhysRevA.84.043816,1.0,0.0,0.0,1.24,0.0,0.49,0.0,0.0,1.77,0.0,1.65,0.0,1.63,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1134/S1054660X11150175,3.0,0.0,0.0,2.47,0.0,0.97,1.25,0.0,0.0,0.0,1.65,0.0,1.63,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.83.042320,0.0,0.0,0.0,0.0,3.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
