DOI,nouns
10.1038/ncomms8913,quantum computer|quantum computer|quantum bit|quantum gate|quantum algorithm|quantum algorithm|superposition|order|speed|qubit|superposition|state|mechanic|gate|qubit|gate|order|task|gate|commute|gate|advantage|context|qubit|order|gate|qubit|superposition|gate|order|degree|freedom|photon|qubit|resource|superposition|order|efficiency|gate|order
10.1038/nature16184,quantum computer|quantum computing|quantum error correction|trapped ion|logic|test|entanglement|inequality|isotope|entanglement|property|quantum|resource|information|qip|state|particle|experiment|state|pair|photon|photon|atom|nucleus|state|logic|gate|state|ion|qubit|isotope|calcium|tomography|state|test|entanglement|inequality|atom|laser|qubit|mechanism|qubit|energy|split|state|qubit|qubit|micrometre|ion|trap|cent|fidelity|chsh|clauser|version|entanglement|inequality|novel|state|deviation|test|detection|locality|species|quantum|logic|construction|protection|memory|qubit|qubit|gate|interface|gate|mechanism|qubit|element|memory|logic|gate|error|photon|level|fault|prerequisite|purpose
10.1103/PhysRevX.5.011009,quantum dot|quantum dot|quantum dot|write|control|exciton|spin|pulse|exciton|integer|spin|state|qubit|demand|state|pulse|qubit|pulse|order|magnitude|life|coherence|qubit|demonstration|field|exciton|state|matter|qubit|advantage|integer|spin|qubit|electron|hole|semiconductor|nanostructure|integration|component|exciton|implication|quantum|technology|semiconductor|qubit
10.1007/s11128-015-1147-1,quantum bit|measurement|device|distribution|plate|measurement|device|quantum|distribution|protocol|rotation|state|encode|polarization|qubit|orbit|momentum|qubit|polarization|misalignment|rotation|distance|quantum|distribution|encode|decode|information|qkd|protocol|polarization|space|transmission|rotation|space|rate|transmission|distance|protocol|error|rate|hybrid|encode|plate|experiment|polarization|misalignment|feedback|control
10.1080/09500340.2014.986550,quantum circuit|quantum network|quantum state|information|transfer|hybrid|center|photon|qubit|scheme|information|transfer|spin|photon|qubit|qubit|nitrogen|vacancy|center|spin|ensemble|microwave|photon|waveguide|cavity|spin|cavity|hybrid|quantum|node|information|encode|information|transfer|node|exchange|photon|transfer|superposition|hybrid|node|control|dynamic|protocol|spin|photon|structure
10.1103/PhysRevLett.114.080501,quantum simulation|bell state|contrast|qubit|interaction|multimode|cavity|qed|multimode|cavity|qed|architecture|circuit|memory|purcell|filter|material|qubit|interaction|multimode|cavity|contrast|qubit|gate|gate|speed|qubit|threemode|cavity|multimode|couple|mhz|interaction|resonance|khz|qubit|mhz|cavity|resonance|landau|transition|multimode|load|photon|multimode|cavity|gate|protocol|gate|qubit|fidelity|ratio|gate|contrast
10.1103/PhysRevA.91.042307,quantum state|state|interconnect|quantum|chip|microwave|interface|electron|spin|crystal|flux|qubit|cavity|transfer|fidelity|excess|model|protocol|broaden|microwave|transition|phase|mismatch|microwave|field|advantage|microwave|couple|strength|capability|information|chip|fidelity
10.1016/j.aop.2015.09.005,nonequilibrium|state|transport|qubit|couple|regime|state|photon|transport|nonequilibrium|qubit|blip|approximation|photon|qubit|couple|regime|contribution|qubit|qubit|interaction|population|distribution|bath|relation|flux|noise|power|qubit|size|power|law|style|size|scale|photon|qubit|couple|strength|inc|right
10.1103/PhysRevB.91.094517,superconducting qubit|superconducting qubit|circuit|qed|architecture|information|process|way|entanglement|picture|circuit|qed|xcqed|restriction|context|scale|quantum|architecture|issue|presence|nonlinearitie|layout|circuit|qed|atom|radiation|field|degree|freedom|zcqed|ion|trap|physic|couple|atom|resonator|architecture|quantum|information|type|interaction|degree|freedom|interaction|transition|lamb|dicke|regime|possibility|couple|strength|atom|resonator|readout|scheme|circuit|qubit|measurement|state|quantum|register|electron|scheme|nondemolition|shoot|determination|qubit|state
10.1103/PhysRevLett.114.203602,quantum walk|quantum walk|realization|qubit|operator|measurement|photon|measurement|qubit|qubit|coin|walker|measurement|qubit|operator|measure|quantum|walk|network|walker|position|step
