DOI,nouns
10.1038/nature11573,quantum dot|quantum dot|quantum bit|quantum bit|quantum entanglement|quantum network|quantum network|trapped ion|neutral atom|photon pair|observation|entanglement|spin|photon|entanglement|role|test|field|information|process|context|communication|challenge|generation|entanglement|spin|photon|observation|semiconductor|spin|colour|photon|demonstration|entanglement|relie|photon|detection|photon|superposition|frequency|component|demonstration|spin|photon|entanglement|nitrogen|vacancy|domain|atom|semiconductor|nanostructure|chip|integration|transition|selection|rule|scheme|rate|emission|rate|observation|step|semiconductor|spin
10.1007/s10773-013-1646-8,quantum bit|trapped ion|scheme|quantum|search|algorithm|ion|scheme|qubit|quantum|search|algorithm|motion|scheme|state|level|ion|qubit|scheme|limitation|intensity|laser|field|speed|ion|gate|amount|decoherence|scheme
10.1038/ncomms2764,quantum computing|quantum dot|quantum dot|quantum dot|quantum bit|superconducting qubit|trapped ion|microcavity|couple|qubit|energy|coherence|transfer|harvesting|photosynthesis|gate|pair|oscillator|spring|exchange|excitation|level|mechanism|couple|exciton|semiconductor|field|couple|photon|mode|state|microresonator|exciton|photon|couple|regime|spectroscopy|sample|response|probe|couple|description|cavity|couple|exciton|mechanism|instance|crystal|cavity|network|range|couple
10.1038/NPHYS2385,quantum bit|superconducting qubit|quantum algorithm|quantum state|quantum system|quantum processor|quantum processor|quantum processor|trapped ion|factor|josephson|phase|qubit|mechanic|factor|version|shor|algorithm|sum|factorization|algorithm|state|number|qubit|control|hardware|quantum|element|state|experiment|capability|device|spectroscopy|interaction|qubit|entanglement|experiment|qubit|version|shor|algorithm|number|factor|improvement|coherence|circuit|resource|number
10.1038/nature09801,quantum computing|quantum bit|quantum system|quantum system|quantum system|quantum system|quantum simulator|trapped ion|trapped ion|quantum simulation|control|interest|technology|progress|environment|dynamic|creation|manipulation|entanglement|dynamic|particle|couple|environment|toolbox|qubit|architecture|gate|pump|gate|ability|dynamic|preparation|state|simulation|body|spin|interaction|measurement|observable|dissipation|gate|prospect|computation
10.1038/nature13729,quantum computer|quantum computing|quantum computing|quantum dot|quantum bit|quantum bit|quantum gate|quantum gate|quantum gate|quantum state|trapped ion|realization|state|spin|realization|set|logic|gate|requirement|quantum|berry|extension|transformation|hilbert|interest|structure|innoise|resilience|side|phase|holonomie|ensemble|molecule|purpose|proposal|computation|platform|experiment|bit|gate|realization|set|state|spin|diamond|nitrogen|vacancy|centre|diamond|defect|potential|room|temperature|interest|experiment|quantum|computation|state|spin|advance|control
10.1038/NPHYS1731,quantum bit|quantum system|quantum system|trapped ion|bell state|w state|interaction|phase|qubit|cavity|multipartite|entanglement|quantum|test|precision|form|qubit|atom|microwave|circuit|interaction|evidence|particle|entanglement|demonstration|interaction|domain|phase|qubit|resonant|cavity|evidence|evolution|product|state|bipartite|cavity|multiphoton|register|entanglement|bus|preparation|multiphoton|state|cavity|interaction|entanglement|distribution|creation|class|entanglement|greenberger|zeilinger|state
10.1038/nature12801,quantum bit|quantum bit|superconducting qubit|quantum gate|quantum cryptography|quantum system|trapped ion|bell state|production|state|state|resource|quantum|physic|quantum|introduction|entanglement|fidelity|state|preparation|minimization|decoherence|environment|control|parameter|dissipation|ion|qubit|state|entanglement|sequence|gate|ion|qubit|fashion|pump|state|state|entanglement|presence|noise|decoherence|demonstration|state|qubit|step|state|engineering|computation|phase|couple|environment|range|dynamic|state|state
10.1038/s41586-018-0450-2,quantum computing|quantum dot|quantum bit|trapped ion|neutral atom|quantum simulation|quantum simulation|quantum simulation|structure|atom|atom|challenge|science|technology|number|platform|state|photon|qubit|environment|structure|hundred|qubit|quantum|gas|realization|lattice|hundred|atom|array|microtrap|tweezer|control|dimension|dimension|atom|control|number|range|assembly|defect|array|atom|tweezer|arrange|atom|atom|plane|plane|array|target|structure|geometry|prospect|ten|qubit|space|hundred|qubit|reach|technology
10.1103/PhysRevA.107.012609,quantum bit|quantum teleportation|quantum network|trapped ion|quantum memory|ghz state|multipartite|entanglement|distribution|quantum|network|node|rate|fidelity|multipartite|state|ina|node|scenario|multipartite|state|node|end|node|network|order|expression|bind|rate|fidelity|class|multipartite|state|greenberger|zeilinger|ghz|state|expression|fidelity|depolarize|noise|monte|carlo|simulation|node|switch|end|node|fashion|teleportation|scheme|nitrogen|vacancy|center|diamond
10.1103/PhysRevApplied.19.034001,quantum computer|quantum network|quantum network|quantum network|trapped ion|trapped ion|trapped ion|trapped ion|trapped ion|photon|circuit|candidate|node|qubit|coherence|fidelity|qubit|gate|way|photon|node|circuit|fabrication|foundry|circuit|telecommunication|wavelength|dipole|emission|route|photon|circuit|quantum|frequency|conversion|emission|ion|operate|wavelength|foundry|silicon|nitride|circuit|transmission|device|phase|shifter|photon|output|channel|circuit|beam|split|condition|step|route|distribution|scale
10.1109/JPHOT.2021.3136502,quantum computing|quantum computing|quantum computing|quantum dot|quantum network|trapped ion|trapped ion|trapped ion|trapped ion|entanglement|state|analyzer|film|lithium|niobate|platform|candidate|coherence|ability|photon|fidelity|qubit|gate|entanglement|state|analyzer|platform|fidelity|entanglement|ion|entanglement|state|analyzer|film|lithium|platform|polarization|qubit|device|fidelity|entanglement|fidelity|coupler|polarization|power|split|ratio|variety|technology|device|spin|qubit|color|center|diamond|earth|ion
10.1038/s41598-024-60478-9,quantum dot|quantum dot|quantum bit|trapped ion|logic|silicon|optimization|device|engineering|computer|simulation|silicon|qubit|platform|superconductor|device|simulation|optimization|gate|qubit|electron|spin|target|cnot|logic|gate|regression|factor|one|term|speed|fidelity|cnot|logic|microwave|pulse|framework|cost|secure|target|quantum|gate|logic|structure|way
10.1038/nature11821,quantum bit|quantum system|quantum system|trapped ion|circuit|cavity|quantum|electrodynamic|resonator|hybrid|degree|freedom|role|phenomenon|cavity|quantum|electron|phonon|state|couple|constituent|character|state|form|dynamic|importance|field|information|control|degree|freedom|cavity|qubit|circuit|cavity|quantum|phonon|microwave|cavity|transmon|tunnel|junction|capacitor|mode|resonator|atom|cavity|shift|split|qubit|line|sideband|transition|state|domain|conversion|qubit|excitation|phonon|rabi|oscillation|potential|interface|storage|information|phonon|state|photon|investigation|limit
10.1039/d2cp05625a,josephson junction|josephson junction|josephson junction|quantum bit|quantum bit|quantum bit|superconducting qubit|alox|stack|sequence|transport|property|alumina|tunnel|junction|alox|device|present|microstructure|device|interface|property|turn|progress|mechanism|junction|structure|device|alpha|device|principle|structure|transport|calculation|relationship|transport|property|stack|sequence|elucidate|detail|aluminum|sequence|electron|transport|property|level|principle|density|theory|green|function|formalism|oxygen|termination|mode|sensitivity|conductance|change|stack|sequence|guidance|yield|frequency|quantum|chip|control|qubit|frequency
10.1088/2058-9565/ace6cb,quantum computer|trapped ion|trapped ion|address|qubit|level|intensity|crosstalk|platform|information|process|gate|measurement|fidelity|hardware|order|control|state|qubit|manipulation|qubit|state|ion|chain|transition|light|ion|manuscript|address|qubit|advantage|laser|waveguide|technology|structure|light|transition|waveguide|mode|light|aberration|space|optic|neighbor|intensity|crosstalk|order|aberration|compensation|demonstration|address|control|amplitude|frequency|phase|channel|strength
10.1038/NNANO.2012.126,quantum bit|trapped ion|quantum simulation|array|ion|trap|semiconductor|technology|control|quantum|state|advance|quantum|laboratory|test|requirement|quantum|information|array|ion|qubit|ion|qubit|ion|trap|need|array|ion|trap|number|trap|electrode|trap|geometry|potential|experiment|trap|number|ion|ion|microtrap|array|silica|silicon|wafer|semiconductor|fabrication|technology|ion|string|ion|segment|array|frequency|ion|heating|rate|storage|ten|ion|qubit
10.1088/0256-307X/30/7/073701,trapped ion|trapped ion|trapped ion|manipulation|ion|surface|ion|manipulation|qubit|fashion|issue|information|process|effort|manipulation|separation|recombination|reorder|ion|home|surface|trap|micromotion|compensation|cross|correlation|cool|ion|temperature
