DOI,Addresses
10.1371/journal.pone.0271462,"[Antipov, A., V; Kiktenko, E. O.; Fedorov, A. K.] Skolkovo, Russian Quantum Ctr, Moscow, Russia; [Antipov, A., V; Kiktenko, E. O.; Fedorov, A. K.] Natl Univ Sci & Technol MISIS, Moscow, Russia"
10.1103/PhysRevB.99.085434,"[Casparis, L.; Pearson, N. J.; Kringhoj, A.; Larsen, T. W.; Kuemmeth, F.; Nygard, J.; Krogstrup, P.; Petersson, K. D.; Marcus, C. M.] Univ Copenhagen, Niels Bohr Inst, Ctr Quantum Devices, Stn Copenhagen Q, DK-2100 Copenhagen, Denmark; [Pearson, N. J.] Swiss Fed Inst Technol, Theoret Phys, CH-8093 Zurich, Switzerland; [Nygard, J.] Univ Copenhagen, Niels Bohr Inst, Nanosci Ctr, DK-2100 Copenhagen, Denmark"
10.1103/PhysRevA.104.032409,"[Zhu, Xing-Yu; Tu, Tao; Guo, Ao-Lin; Guo, Guang-Can; Li, Chuan-Feng] Univ Sci & Technol China, Key Lab Quantum Informat, Chinese Acad Sci, Hefei 230026, Peoples R China; [Zhu, Xing-Yu; Tu, Tao; Guo, Ao-Lin] Univ Calif Los Angeles, Dept Phys & Astron, Los Angeles, CA 90095 USA; [Zhu, Xing-Yu] Suzhou Univ, Sch Mech & Elect Engn, Suzhou 234000, Peoples R China"
10.3390/photonics9090617,"[Altintas, Azmi Ali] Istanbul Univ, Fac Sci, Dept Phys, TR-34116 Istanbul, Turkey; [Ozaydin, Fatih] Tokyo Int Univ, Inst Int Strategy, 1-13-1 Matoba Kita, Kawagoe, Saitama 3501197, Japan; [Ozaydin, Fatih; Bayindir, Cihan] CERN, CH-1211 Geneva 23, Switzerland; [Bayindir, Cihan] Istanbul Tech Univ, Engn Fac, TR-34469 Istanbul, Turkey; [Bayindir, Cihan] Bogazici Univ, Fac Engn, TR-34342 Istanbul, Turkey; [Bayrakci, Veysel] Isik Univ, Fac Engn & Nat Sci, TR-34980 Istanbul, Turkey"
10.1103/PhysRevLett.106.130504,"[Jiang, Liang; Preskill, John] CALTECH, Inst Quantum Informat, Pasadena, CA 91125 USA; [Kane, Charles L.] Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 USA"
10.1103/PhysRevB.104.174202,"[Brehm, Jan David; Stehli, Alexander; Rotzinger, Hannes; Ustinov, Alexey, V] Karlsruhe Inst Technol, Phys Inst, D-76131 Karlsruhe, Germany; [Popperl, Paul; Mirlin, Alexander D.; Shnirman, Alexander] Karlsruhe Inst Technol, Inst Theorie Kondensierten Materie, D-76128 Karlsruhe, Germany; [Popperl, Paul; Mirlin, Alexander D.; Shnirman, Alexander; Rotzinger, Hannes; Ustinov, Alexey, V] Karlsruhe Inst Technol, Inst Quantum Mat & Technol, D-76021 Karlsruhe, Germany; [Mirlin, Alexander D.] Landau Inst Theoret Phys, Moscow 119334, Russia; [Ustinov, Alexey, V] Natl Univ Sci & Technol MISIS, Moscow 119049, Russia; [Ustinov, Alexey, V] Russian Quantum Ctr, Moscow 143025, Russia"
10.1103/PhysRevLett.127.190501,"[Bosco, Stefano; Loss, Daniel] Univ Basel, Dept Phys, Klingelbergstr 82, CH-4056 Basel, Switzerland"
10.1038/srep05535,"[You, J. Q.] Beijing Computat Sci Res Ctr, Beijing 100084, Peoples R China; [You, J. Q.; Nori, Franco] RIKEN, Ctr Emergent Matter Sci, Wako, Saitama 3510198, Japan; [Wang, Z. D.] Univ Hong Kong, Dept Phys, Hong Kong, Hong Kong, Peoples R China; [Wang, Z. D.] Univ Hong Kong, Ctr Theoret & Computat Phys, Hong Kong, Hong Kong, Peoples R China; [Zhang, Wenxian] Wuhan Univ, Sch Phys & Technol, Wuhan 430072, Peoples R China; [Nori, Franco] Univ Michigan, Dept Phys, Ann Arbor, MI 48109 USA"
10.1002/cphc.201400029,"[Chattopadhyaya, Mausumi; Alam, Md. Mehboob; Chakrabarti, Swapan] Univ Calcutta, Dept Chem, Kolkata 700009, India; [Sarkar, Debasis] Univ Calcutta, Dept Appl Phys, Kolkata 700009, India"
10.1038/ncomms2003,"[Wang, Xin; Bishop, Lev S.; Kestner, J. P.; Barnes, Edwin; Sun, Kai; Das Sarma, S.] Univ Maryland, Dept Phys, Condensed Matter Theory Ctr, College Pk, MD 20742 USA; [Bishop, Lev S.; Sun, Kai; Das Sarma, S.] Univ Maryland, Joint Quantum Inst, College Pk, MD 20742 USA"
10.1103/PhysRevLett.131.113601,"[Zheng, Ri-Hua; Ning, Wen; Chen, Ye-Hong; Lu, Jia-Hao; Shen, Li-Tuo; Xia, Yan; Wu, Fan; Yang, Zhen-Biao; Zheng, Shi-Biao] Fuzhou Univ, Coll Phys & Informat Engn, Fujian Key Lab Quantum Informat & Quantum Opt, Fuzhou 350108, Fujian, Peoples R China; [Chen, Ye-Hong; Zhang, Yu-Ran; Miranowicz, Adam; Lambert, Neill; Nori, Franco] RIKEN Cluster Pioneering Res, Theoret Quantum Phys Lab, Wako, Saitama 3510198, Japan; [Chen, Ye-Hong; Zhang, Yu-Ran; Nori, Franco] RIKEN Ctr Quantum Comp RQC, Quantum Informat Phys Theory Res Team, Wako, Saitama 3510198, Japan; [Xu, Kai; Zheng, Dongning; Fan, Heng] Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China; [Xu, Kai; Zheng, Dongning; Fan, Heng] Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China; [Xu, Kai; Li, Hekang; Zheng, Dongning; Fan, Heng] Univ Chinese Acad Sci, CAS Ctr Excellence Topol Quantum Computat, Beijing 100190, Peoples R China; [Zhang, Yu-Ran] South China Univ Technol, Sch Phys & Optoelect, Guangzhou 510640, Peoples R China; [Xu, Da] Zhejiang Univ, Sch Phys, Interdisciplinary Ctr Quantum Informat, State Key Lab Modern Opt Instrumentat, Hangzhou 310027, Peoples R China; [Xu, Da] Zhejiang Univ, Sch Phys, Zhejiang Prov Key Lab Quantum Technol & Device, Hangzhou 310027, Peoples R China; [Miranowicz, Adam] Adam Mickiewicz Univ, Inst Spintron & Quantum Informat, Fac Phys, PL-61614 Poznan, Poland; [Nori, Franco] Univ Michigan, Dept Phys, Ann Arbor, MI 48109 USA"
10.1103/PhysRevB.82.075304,"[Granger, G.; Gaudreau, L.; Kam, A.; Studenikin, S. A.; Wasilewski, Z. R.; Zawadzki, P.; Sachrajda, A. S.] Natl Res Council Canada, Inst Microstruct Sci, Ottawa, ON K1A 0R6, Canada; [Gaudreau, L.; Pioro-Ladriere, M.] Univ Sherbrooke, Dept Phys, Sherbrooke, PQ J1K 2R1, Canada"
10.1109/TVLSI.2018.2814041,"[Kulkarni, Anant; Prajapati, Sanjay; Kaushik, Brajesh Kumar] IIT Roorkee, Dept Elect & Commun Engn, Roorkee 247667, Uttar Pradesh, India"
10.1088/1367-2630/aa695f,"[Abadillo-Uriel, J. C.; Calderon, M. J.] CSIC, ICMM, Cantoblanco, E-28049 Madrid, Spain"
10.1038/s41586-020-2667-0,"[Stricker, Roman; Erhard, Alexander; Postler, Lukas; Meth, Michael; Ringbauer, Martin; Schindler, Philipp; Monz, Thomas; Blatt, Rainer] Univ Innsbruck, Inst Expt Phys, Innsbruck, Austria; [Vodola, Davide] Univ Bologna, Dipartimento Fis & Astron, Bologna, Italy; [Vodola, Davide] INFN, Sez Bologna, Bologna, Italy; [Vodola, Davide; Mueller, Markus] Swansea Univ, Dept Phys, Coll Sci, Swansea, W Glam, Wales; [Monz, Thomas] Alpine Quantum Technol GmbH, Innsbruck, Austria; [Mueller, Markus] Rhein Westfal TH Aachen, Inst Quantum Informat, Aachen, Germany; [Mueller, Markus] Forschungszentrum Julich, Peter Grunberg Inst, Theoret Nanoelect, Julich, Germany; [Blatt, Rainer] Austrian Acad Sci, Inst Quantenopt & Quanteninformat, Innsbruck, Austria"
10.1038/s41467-020-17511-y,"[Kono, S.; van Loo, A. F.; Nakamura, Y.] RIKEN, Ctr Emergent Matter Sci CEMS, Wako, Saitama 3510198, Japan; [Koshino, K.] Tokyo Med & Dent Univ, Coll Liberal Arts & Sci, Ichikawa, Chiba 2720827, Japan; [Lachance-Quirion, D.; Tabuchi, Y.; Nakamura, Y.] Univ Tokyo, Res Ctr Adv Sci & Technol RCAST, Meguro Ku, Tokyo 1538904, Japan; [Lachance-Quirion, D.] Univ Sherbrooke, Inst Quant, Sherbrooke, PQ J1K 2R1, Canada; [Lachance-Quirion, D.] Univ Sherbrooke, Dept Phys, Sherbrooke, PQ J1K 2R1, Canada; [Noguchi, A.] Univ Tokyo, Komaba Inst Sci KIS, Meguro Ku, Tokyo 1538902, Japan; [Noguchi, A.] Japan Sci & Technol Agcy, PRESTO, Kawaguchi, Saitama 3320012, Japan"
10.1088/1367-2630/ab8830,"[Groenland, Koen; Witteveen, Freek; Schoutens, Kareljan] QuSoft, Sci Pk 123, NL-1098 XG Amsterdam, Netherlands; [Groenland, Koen; Witteveen, Freek; Schoutens, Kareljan] Ctr Wiskunde & Informat CWI, Sci Pk 123, NL-1098 XG Amsterdam, Netherlands; [Groenland, Koen; Schoutens, Kareljan; Gerritsma, Rene] Univ Amsterdam, Inst Phys, Sci Pk 904, NL-1098 XH Amsterdam, Netherlands; [Witteveen, Freek] Univ Amsterdam, Korteweg de Vries Inst Math, Sci Pk 105-107, NL-1098 XG Amsterdam, Netherlands"
10.1103/PhysRevA.87.062337,"[Wang, Hong-Fu; Zhu, Ai-Dong; Zhang, Shou] Yanbian Univ, Coll Sci, Dept Phys, Yanji 133002, Jilin, Peoples R China; [Wang, Hong-Fu] Dalian Univ Technol, Sch Phys & Optoelect Technol, Dalian 116024, Peoples R China; [Yeon, Kyu-Hwang] Chungbuk Natl Univ, Coll Nat Sci, Dept Phys, Cheongju 361763, Chungbuk, South Korea; [Yeon, Kyu-Hwang] Chungbuk Natl Univ, Coll Nat Sci, Program Device Phys BK21, Cheongju 361763, Chungbuk, South Korea"
10.1063/1.5042501,"[Froning, F. N. M.; Rehmann, M. K.; Zumbuhl, D. M.; Braakman, F. R.] Univ Basel, Dept Phys, Klingelbergstr 82, CH-4056 Basel, Switzerland; [Ridderbos, J.; Brauns, M.; Zwanenburg, F. A.] Univ Twente, MESA Inst Nanotechnol, NanoElect Grp, POB 217, NL-7500 AE Enschede, Netherlands; [Li, A.; Bakkers, E. P. A. M.] Eindhoven Univ Technol, Dept Appl Phys, POB 513, NL-5600 MB Eindhoven, Netherlands; [Bakkers, E. P. A. M.] Delft Univ Technol, QuTech, NL-2600 GA Delft, Netherlands; [Bakkers, E. P. A. M.] Delft Univ Technol, Kavli Inst Nanosci, NL-2600 GA Delft, Netherlands"
10.1063/5.0170259,"[Wei, Xingyu; Jiang, Junliang; Xu, Wenqu; Guo, Tingting; Zhang, Kaixuan; Li, Zishuo; Zhou, Tianshi; Sheng, Yifan; Cao, Chunhai; Sun, Guozhu; Wu, Peiheng] Nanjing Univ, Res Inst Supercond Elect, Sch Elect Sci & Engn, Nanjing 210023, Peoples R China; [Wei, Xingyu; Jiang, Junliang; Xu, Wenqu; Guo, Tingting; Zhang, Kaixuan; Li, Zishuo; Zhou, Tianshi; Sheng, Yifan; Cao, Chunhai; Sun, Guozhu; Wu, Peiheng] Hefei Natl Lab, Hefei 230088, Peoples R China; [Sun, Guozhu; Wu, Peiheng] Purple Mt Labs, Nanjing 211111, Peoples R China"
10.1088/1612-2011/13/8/085201,"[Dong, Ping; Yu, Long-Bao] Hefei Normal Univ, Sch Elect & Informat Engn, Hefei 230601, Peoples R China; [Zhou, Jian] Anhui Xinhua Univ, Dept Elect Commun Engn, Hefei 230088, Peoples R China; [Zhou, Jian] Nanjing Univ, Natl Lab Solid State Microstruct, Nanjing 210093, Jiangsu, Peoples R China"
10.1063/5.0055908,"[Kandel, Yadav P.; Qiao, Haifeng; Nichol, John M.] Univ Rochester, Dept Phys & Astron, Rochester, NY 14627 USA"
10.1103/PhysRevB.97.155412,"[Pawlowski, J.] Wroclaw Univ Sci & Technol, Fac Fundamental Problems Technol, Dept Theoret Phys, Wybrzeze Wyspianskiego 27, PL-50370 Wroclaw, Poland; [Zebrowski, D.; Bednarek, S.] AGH Univ Sci & Technol, Fac Phys & Appl Comp Sci, Krakow, Poland"
10.1063/5.0069561,"[Lee, Jaesung; Feng, Philip X. -L.] Univ Florida, Herbert Wertheim Coll Engn, Dept Elect & Comp Engn, Gainesville, FL 32611 USA; [LaHaye, Matthew D.] US Air Force Res Lab, Rome, NY 13441 USA"
10.1103/PhysRevB.100.035304,"[Calderon-Vargas, F. A.; Barron, George S.; Deng, Xiu-Hao; Barnes, Edwin; Economou, Sophia E.] Virginia Tech, Dept Phys, Blacksburg, VA 24061 USA; [Sigillito, A. J.] Princeton Univ, Dept Phys, Princeton, NJ 08544 USA"
10.1038/s41467-020-17211-7,"[Hendrickx, N. W.; Lawrie, W. I. L.; Petit, L.; Scappucci, G.; Veldhorst, M.] Delft Univ Technol, QuTech, POB 5046, NL-2600 GA Delft, Netherlands; [Hendrickx, N. W.; Lawrie, W. I. L.; Petit, L.; Scappucci, G.; Veldhorst, M.] Delft Univ Technol, Kavli Inst Nanosci, POB 5046, NL-2600 GA Delft, Netherlands; [Sammak, A.] QuTech, Stieltjesweg 1, NL-2628 CK Delft, Netherlands; [Sammak, A.] Netherlands Org Appl Sci Res TNO, Stieltjesweg 1, NL-2628 CK Delft, Netherlands"
10.1038/s41534-024-00914-w,"[Maclellan, Benjamin; Melko, Roger G.] Univ Waterloo, Dept Phys & Astron, 200 Univ Ave, Waterloo, ON, Canada; [Maclellan, Benjamin] Inst Quantum Comp, 200 Univ Ave, Waterloo, ON, Canada; [Maclellan, Benjamin; Melko, Roger G.] Perimeter Inst Theoret Phys, 31 Caroline St N, Waterloo, ON, Canada; [Maclellan, Benjamin; Roztocki, Piotr] Ki3 Photon Technol, 2547 Rue Sicard, Montreal, PQ, Canada; [Czischek, Stefanie] Univ Ottawa, Dept Phys, 75 Laurier Ave, Ottawa, ON, Canada"
10.1103/PhysRevLett.110.157001,"[Probst, S.; Rotzinger, H.; Jung, P.; Jerger, M.; Ustinov, A. V.; Bushev, P. A.] Karlsruhe Inst Technol, Inst Phys, D-76128 Karlsruhe, Germany; [Wuensch, S.; Siegel, M.] Karlsruhe Inst Technol, Inst Mikro & Nanoelekt Syst, D-76189 Karlsruhe, Germany"
10.1103/PhysRevA.105.052438,"[Chen, Neville; Li, Lintao; Huie, William; Zhao, Mingkun; Vetter, Ian; Covey, Jacob P.] Univ Illinois, Dept Phys, Urbana, IL 61801 USA; [Greene, Chris H.] Purdue Univ, Dept Phys & Astron, W Lafayette, IN 47907 USA; [Greene, Chris H.] Purdue Univ, Purdue Quantum Sci & Engn Inst, W Lafayette, IN 47907 USA"
10.1103/PhysRevLett.107.220501,"[Kubo, Y.; Grezes, C.; Dewes, A.; Vion, D.; Esteve, D.; Bertet, P.] CEA Saclay, DSM, IRAMIS, Quantron Grp,SPEC CNRS URA 2464, F-91191 Gif Sur Yvette, France; [Umeda, T.; Isoya, J.] Univ Tsukuba, Res Ctr Knowledge Communities, Tsukuba, Ibaraki 3058550, Japan; [Sumiya, H.] Sumitomo Elect Ind Ltd, Itami, Hyogo 664001, Japan; [Morishita, N.; Abe, H.; Onoda, S.; Ohshima, T.] Japan Atom Energy Agcy, Takasaki, Gunma 3701292, Japan; [Jacques, V.; Dreau, A.; Roch, J. -F.] ENS Cachan, LPQM CNRS UMR 8537, F-94235 Cachan, France; [Diniz, I.; Auffeves, A.] CNRS, Inst Neel, F-38042 Grenoble, France"
10.1364/OE.24.000125,"[Bruno, Natalia; Pini, Vittorio; Martin, Anthony; Korzh, Boris; Bussieres, Felix; Zbinden, Hugo; Gisin, Nicolas; Thew, Rob] Univ Geneva, Grp Appl Phys, CH-1211 Geneva 4, Switzerland; [Verma, Varun B.; Nam, Sae Woo; Mirin, Richard; Lita, Adriana] NIST, Boulder, CO 80305 USA; [Marsili, Francesco] CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA; [Sangouard, Nicolas] Univ Basel, Dept Phys, CH-4056 Basel, Switzerland"
10.1038/s41567-024-02408-0,"[Ferreira, Vinicius S.; Kim, Gihwan; Butler, Andreas; Painter, Oskar] CALTECH, Kavli Nanosci Inst, Pasadena, CA 91125 USA; [Ferreira, Vinicius S.; Kim, Gihwan; Butler, Andreas; Painter, Oskar] CALTECH, Thomas J Watson Sr Lab Appl Phys, Pasadena, CA 91125 USA; [Ferreira, Vinicius S.; Kim, Gihwan; Butler, Andreas; Painter, Oskar] CALTECH, Inst Quantum Informat & Matter, Pasadena, CA 91125 USA; [Pichler, Hannes] Univ Innsbruck, Inst Theoret Phys, Innsbruck, Austria; [Pichler, Hannes] Austrian Acad Sci, Inst Quantum Opt & Quantum Informat, Innsbruck, Austria"
10.1002/cta.2331,"[Chatterjee, Dibyendu; Roy, Arijit] West Bengal State Univ, Dept Elect, Kolkata 700126, India"
10.1038/s41534-018-0105-z,"[Takeda, K.; Yoneda, J.; Otsuka, T.; Nakajima, T.; Delbecq, M. R.; Allison, G.; Tarucha, S.] RIKEN, CEMS, Wako, Saitama 3510198, Japan; [Otsuka, T.] JST, PRESTO, 4-1-8 Honcho, Kawaguchi, Saitama 3320012, Japan; [Otsuka, T.] Tohoku Univ, Res Inst Elect Commun, Aoba Ku, 2-1-1 Katahira, Sendai, Miyagi 9808577, Japan; [Delbecq, M. R.] Univ Paris Diderot, Univ Pierre & Marie Curie, Sorbonne Univ,CNRS,Sorbonne Paris Cite, Lab Pierre Aigrain,Ecole Normale Super,PSL Res Un, 24 Rue Lhomond, F-75231 Paris 05, France; [Hoshi, Y.] Tokyo City Univ, Adv Res Labs, Setagaya Ku, 8-15-1 Todoroki, Tokyo 1580082, Japan; [Usami, N.] Nagoya Univ, Grad Sch Engn, Nagoya, Aichi 4648603, Japan; [Itoh, K. M.] Keio Univ, Dept Appl Phys & Physicoinformat, Yokohama, Kanagawa 2238522, Japan; [Oda, S.] Tokyo Inst Technol, Dept Phys Elect & Quantum Nanoelect Res Ctr, Meguro Ku, Tokyo 1528552, Japan; [Kodera, T.] Tokyo Inst Technol, Dept Elect & Elect Engn, Meguro Ku, Tokyo 1528552, Japan; [Tarucha, S.] Univ Tokyo, Dept Appl Phys, Bunkyo Ku, Tokyo 1138656, Japan"
10.1103/PhysRevLett.122.100501,"[Liu, Yi-Xiang; Ajoy, Ashok; Cappellaro, Paola] MIT, Res Lab Elect, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Liu, Yi-Xiang; Ajoy, Ashok; Cappellaro, Paola] MIT, Dept Nucl Sci & Engn, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Ajoy, Ashok] Univ Calif Berkeley, Dept Chem, Berkeley, CA 94720 USA; [Ajoy, Ashok] Lawrence Berkeley Natl Lab, Mat Sci Div, Berkeley, CA 94720 USA"
10.1126/sciadv.adp6442,"[Stolk, Arian J.; van der Enden, Kian L.; Slater, Marie-Christine; te Raa-Derckx, Ingmar; Botma, Pieter; van Rantwijk, Joris; Biemond, J. J. Benjamin; Hagen, Ronald A. J.; Herfst, Rodolf W.; Koek, Wouter D.; Meskers, Adrianus J. H.; Vollmer, Rene; van Zwet, Erwin J.; Hanson, Ronald] Delft Univ Technol, QuTech, NL-2628 CJ Delft, Netherlands; [Stolk, Arian J.; van der Enden, Kian L.; Slater, Marie-Christine; te Raa-Derckx, Ingmar; Botma, Pieter; van Rantwijk, Joris; Biemond, J. J. Benjamin; Hagen, Ronald A. J.; Herfst, Rodolf W.; Koek, Wouter D.; Meskers, Adrianus J. H.; Vollmer, Rene; van Zwet, Erwin J.; Hanson, Ronald] Delft Univ Technol, Kavli Inst Nanosci, NL-2628 CJ Delft, Netherlands; [Biemond, J. J. Benjamin; Hagen, Ronald A. J.; Herfst, Rodolf W.; Koek, Wouter D.; Meskers, Adrianus J. H.; Vollmer, Rene; van Zwet, Erwin J.] Netherlands Org Appl Sci Res TNO, POB 155, NL-2600 AD Delft, Netherlands; [Markham, Matthew; Edmonds, Andrew M.] Element Six Innovat, Fermi Ave, Didcot OX11 0QR, Oxon, England; [Geus, J. Fabian; Elsen, Florian; Jungbluth, Bernd; Haefner, Constantin] Fraunhofer Inst Laser Technol ILT, D-52074 Aachen, Germany; [Geus, J. Fabian; Elsen, Florian; Haefner, Constantin] Rhein Westfal TH Aachen, D-52074 Aachen, Germany; [Tresp, Christoph; Stuhler, Juergen; Ritter, Stephan] TOPTICA Photon AG, Lochhamer Schlag 19, D-82166 Graefelfing, Germany; [Slater, Marie-Christine] AIT Austrian Inst Technol Gmbh, Giefinggasse 4, A-1210 Vienna, Austria"
10.1103/PhysRevX.13.021039,"[Mirhosseini, Mohammad] CALTECH, Moore Lab Engn, Pasadena, CA 91125 USA; CALTECH, Inst Quantum Informat & Matter, Pasadena, CA 91125 USA"
10.1103/PhysRevApplied.14.054059,"[Pitsun, Dmitri; Sultanov, Aydar; Novikov, Ilya; Mutsenik, Evgeniya; Ivanov, Boris] Novosibirsk State Tech Univ, Fac Phys Engn, Novosibirsk 630073, Russia; [Matanin, Aleksey; Ivanov, Anton; Rodionov, Ilya] Bauman Moscow State Tech Univ, FMN Lab, Moscow 105005, Russia; [Polozov, Viktor; Malevannaya, Elizaveta; Ivanov, Anton; Rodionov, Ilya] VNIIA, Dukhov Automat Res Inst, Moscow 127055, Russia; [Fedorov, Gleb] Natl Univ Sci & Technol MISIS, Moscow 119049, Russia; [Fedorov, Gleb; Il'ichev, Evgeni] Russian Quantum Ctr, Skolkovo 121205, Russia; [Fedorov, Gleb] Moscow Inst Phys & Technol, Dolgoprudnyi 141701, Russia; [Delfanazari, Kaveh] Univ Cambridge, Elect Engn Div, Cambridge CB3 0FA, England; [Delfanazari, Kaveh] Univ Cambridge, Cavendish Lab, Cambridge CB3 0HE, England; [Delfanazari, Kaveh] Univ Glasgow, James Watt Sch Engn, Glasgow G12 8QQ, Lanark, Scotland; [Il'ichev, Evgeni] Leibniz Inst Photon Technol, D-07745 Jena, Germany"
10.1088/1367-2630/ac09c8,"[Cole, Daniel C.; Wu, Jenny J.; Erickson, Stephen D.; Hou, Pan-Yu; Wilson, Andrew C.; Leibfried, Dietrich] NIST, 325 Broadway, Boulder, CO 80305 USA; [Wu, Jenny J.; Erickson, Stephen D.; Hou, Pan-Yu] Univ Colorado, Dept Phys, Boulder, CO 80309 USA; [Reiter, Florentin] Swiss Fed Inst Technol, Inst Quantum Elect, Otto Stern Weg 1, CH-8093 Zurich, Switzerland"
10.1103/PRXQuantum.4.040313,"[Malinowski, M.; Allcock, D. T. C.; Ballance, C. J.] Oxford Ion, Oxford OX5 1PF, England; [Allcock, D. T. C.] Univ Oregon, Dept Phys, Eugene, OR 97403 USA; [Ballance, C. J.] Univ Oxford, Dept Phys, Clarendon Lab, Parks Rd, Oxford OX1 3PU, England"
10.1038/s41534-024-00924-8,"[Kam, Chon-Fai] Ludwig Maximilians Univ Munchen, Dept Informat, Munich, Germany; [Hu, Xuedong] SUNY Buffalo, Dept Phys, Buffalo, NY 14260 USA"
10.1021/jacs.3c10772,"[Qiu, Yunfan; Eckvahl, Hannah J.; Equbal, Asif; Krzyaniak, Matthew D.; Wasielewski, Michael R.] Northwestern Univ, Ctr Mol Quantum Transduct, Dept Chem, Evanston, IL 60208 USA; [Qiu, Yunfan; Eckvahl, Hannah J.; Equbal, Asif; Krzyaniak, Matthew D.; Wasielewski, Michael R.] Northwestern Univ, Paula M Trienens Inst Sustainabil & Energy Northwe, Evanston, IL 60208 USA"
10.1038/s41534-022-00615-2,"[Seidler, Inga; Struck, Tom; Xue, Ran; Focke, Niels; Bluhm, Hendrik; Schreiber, Lars R.] Forschungszentrum Julich, ARA FIT Inst Quantum Informat, Aachen, Germany; [Seidler, Inga; Struck, Tom; Xue, Ran; Focke, Niels; Bluhm, Hendrik; Schreiber, Lars R.] Rhein Westfal TH Aachen, Aachen, Germany; [Trellenkamp, Stefan] Forschungszentrum Julich, Helmholtz Nano Facil HNF, Julich, Germany"
10.1103/PhysRevLett.118.216802,"[Zhang, Chengxian; Yang, Xu-Chen; Wang, Xin] City Univ Hong Kong, Dept Phys & Mat Sci, Tat Chee Ave, Kowloon, Hong Kong, Peoples R China; [Zhang, Chengxian; Yang, Xu-Chen; Wang, Xin] City Univ Hong Kong, Shenzhen Res Inst, Shenzhen 518057, Guangdong, Peoples R China; [Throckmorton, Robert E.; Das Sarma, S.] Univ Maryland, Condensed Matter Theory Ctr, College Pk, MD 20742 USA; [Throckmorton, Robert E.; Das Sarma, S.] Univ Maryland, Dept Phys, Joint Quantum Inst, College Pk, MD 20742 USA; [Barnes, Edwin] Virginia Tech, Dept Phys, Blacksburg, VA 24061 USA"
10.1063/1.3681195,"[Colless, J. I.; Reilly, D. J.] Univ Sydney, Sch Phys, ARC Ctr Excellence Engn Quantum Syst, Sydney, NSW 2006, Australia"
10.1088/0268-1242/26/5/055004,"[Shin, Yun-Sok; Brunner, Roland; Shibatomi, Akihiro] JST, ICORP, Quantum Spin Informat Project, Bunkyo Ku, Tokyo 1138656, Japan; [Obata, Toshiaki; Otsuka, Tomohiro; Yoneda, Jun; Tarucha, Seigo] Univ Tokyo, Dept Appl Phys, Bunkyo Ku, Tokyo 1138656, Japan; [Obata, Toshiaki; Otsuka, Tomohiro; Yoneda, Jun; Tarucha, Seigo] Univ Tokyo, QPEC, Bunkyo Ku, Tokyo 1138656, Japan; [Shiraki, Yasuhiro; Sawano, Kentarou] Tokyo City Univ, Adv Res Labs, Res Ctr Silicon Nanosci, Setagaya Ku, Tokyo 1580082, Japan; [Tokura, Yasuhiro; Harada, Yuichi] NTT Corp, NTT Basic Res Labs, Atsugi, Kanagawa 2430198, Japan; [Ishibashi, Koji] RIKEN, Adv Device Lab, Wako, Saitama 3510198, Japan"
10.1103/PhysRevApplied.19.044039,"[Russell, Angus; Zotov, Alexander; Rossi, Alessandro] Univ Strathclyde, Dept Phys, SUPA, Glasgow City G4 0NG, Scotland; [Zhao, Ruichen; Dzurak, Andrew S.] Univ New South Wales, Sch Elect Engn & Telecommun, Sydney, Australia; [Gonzalez-Zalba, M. Fernando] Nexus, Quantum Mot Technol, Discovery Way, Leeds LS2 3AA, England; [Rossi, Alessandro] Natl Phys Lab, Hampton Rd, Teddington TW11 0LW, England"
10.1103/PhysRevLett.117.170501,"[Geng, Jianpei; Wu, Yang; Xu, Kebiao; Shi, Fazhan; Xie, Yijin; Rong, Xing; Du, Jiangfeng] Univ Sci & Technol China, CAS Key Lab Microscale Magnet Resonance, Hefei 230026, Peoples R China; [Geng, Jianpei; Wu, Yang; Xu, Kebiao; Shi, Fazhan; Xie, Yijin; Rong, Xing; Du, Jiangfeng] Univ Sci & Technol China, Dept Modern Phys, Hefei 230026, Peoples R China; [Wang, Xiaoting] Louisiana State Univ, Hearne Inst Theoret Phys, Dept Phys & Astron, Baton Rouge, LA 70803 USA; [Wang, Xiaoting] MIT, Elect Res Lab, Cambridge, MA 02139 USA; [Shi, Fazhan; Rong, Xing; Du, Jiangfeng] Univ Sci & Technol China, Synerget Innovat Ctr Quantum Informat & Quantum P, Hefei 230026, Peoples R China"
