DOI,institution
10.1103/PhysRevLett.111.230507,"Tel Aviv Univ,Aarhus Univ,Hebrew Univ Jerusalem"
10.1038/nature11120,"Univ Innsbruck,Phys Tech Bundesanstalt,Leibniz Univ Hannover,Austrian Acad Sci"
10.1088/1367-2630/15/8/083001,Univ Ulm
10.1103/PhysRevA.110.L030202,"Charles Univ Prague,Palacky Univ"
10.1103/PhysRevA.91.022332,Univ Innsbruck
10.1103/PhysRevApplied.6.014006,"B Verkin Inst Low Temp Phys & Engn,V Karazin Kharkov Natl Univ,RIKEN,Univ S Carolina,RAS,Univ Michigan"
10.1103/PhysRevLett.119.040501,"Univ Basque Country,Univ Massachusetts,Univ Geneva,IKERBASQUE"
10.1088/1367-2630/13/8/085007,"Univ Innsbruck,Austrian Acad Sci,Univ Complutense,Leibniz Univ Hannover,Natl Univ Def Technol"
10.1063/5.0096467,"Univ New South Wales,Keio Univ"
10.1109/TASC.2024.3419905,Tohoku Univ
10.1103/PhysRevB.82.155315,"Sandia Natl Labs,Purdue Univ,Univ Melbourne"
10.1063/1.5116659,"Aalto Univ,Univ Oulu,VTT Tech Res Ctr Finland Ltd"
10.1063/1.3570693,Univ Calif Berkeley
10.1063/5.0073136,"Griffith Univ,Univ Queensland,Austrian Acad Sci,Univ Innsbruck"
10.1063/1.5003169,"Univ Waterloo,Univ Calif Berkeley"
10.1038/s41467-022-35285-3,"Univ Sussex,Universal Quantum Ltd,UCL,Univ Bristol"
10.1103/PhysRevB.92.235401,"Rhein Westfal TH Aachen,Forschungszentrum Julich"
10.1103/PhysRevLett.127.143201,"Tsinghua Univ,Peking Univ,Beijing Acad Quantum Informat Sci,Harvard Univ"
10.1039/c4an00734d,Univ Oxford
10.1063/5.0157509,"NYU,DEVCOM Army Res Lab"
10.1103/PhysRevLett.113.197601,"Harvard Univ,Harvard Smithsonian Ctr Astrophys,Broad Inst MIT & Harvard"
10.1103/PhysRevA.81.042321,Univ Washington
10.1103/PhysRevA.90.062307,"Univ Saarland,Univ Wisconsin,Syracuse Univ"
10.1038/s41586-021-03268-x,"Natl Inst Stand & Technol,Univ Colorado"
10.1007/s10909-019-02183-w,"St Louis Univ,NIST,IBM Corp,Univ Glasgow,Univ Missouri"
10.1134/S1063783410110053,Moscow MV Lomonosov State Univ
10.1038/nature14270,"Univ Calif Santa Barbara,Univ Melbourne"
10.1364/PRJ.434217,"Beijing Computat Sci Res Ctr,Anhui Univ,Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Capital Normal Univ"
10.1038/s41427-023-00510-y,"Yunnan Univ,Kunming Univ,Yunnan OceanDeepland Organ Optoelect Technol Ltd,UCL,Imperial Coll London"
10.1007/s10773-010-0253-1,S China Normal Univ
10.3390/sym13122243,"Prince Sattam Bin Abdulaziz Univ,Assiut Univ,South Valley Univ,Univ Sharjah,Abu Dhabi Univ,Texas A&M Univ"
10.1126/science.aau6539,"Johns Hopkins Univ,Natl Taiwan Univ,Acad Sinica"
10.1103/PhysRevX.8.011021,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Google Inc,MIT"
10.1103/PhysRevLett.107.146605,"Pohang Univ Sci & Technol,Korea Univ"
10.1073/pnas.1207329109,"Univ Sci & Technol China,Heidelberg Univ,Natl Cheng Kung Univ"
10.1016/j.actamat.2024.120631,"Ames Natl Lab,Rigetti Comp,Iowa State Univ"
10.1038/nature12016,"Delft Univ Technol,Element Six Ltd,McGill Univ"
10.1038/s41565-021-00925-0,"RIKEN,Tokyo Tech Acad Super Smart Soc"
10.1038/ncomms2277,"Delft Univ Technol,Philips Innovat Serv Eindhoven,Eindhoven Univ Technol"
10.1016/j.physc.2010.05.159,Yokohama Natl Univ
10.1038/NPHYS3515,"Univ Calif Berkeley,Tech Univ Kaiserslautern"
10.1557/mrs.2020.147,"Univ Maryland,Lawrence Livermore Natl Lab,Sandia Natl Labs,NYU"
10.1103/PhysRevB.81.134514,"Bayer Akad Wissensch,Univ Munich,Tech Univ Munich,MATIS INFM,DMFCI,Univ Regensburg,Univ Basque Country,Basque Fdn Sci"
10.1038/ncomms4860,"Univ Calif Los Angeles,Lab Phys Sci"
10.1109/JSSC.2020.3024678,"Delft Univ Technol,Intel Corp,TNO,Zurich Instruments,Apple Inc,Intel Guadalajara,Kavli Inst Nanosci,Ecole Polytech Fed Lausanne"
10.1038/s41567-023-02102-7,"Duke Univ,Univ Maryland,IonQ Inc"
10.3389/fchem.2019.00662,"Univ Valencia,Max Planck Inst Struct & Dynam Matter"
10.1103/PhysRevApplied.21.014043,"Univ Paris Saclay,Alice&Bob,Ecole Normale Suprerieure"
10.1103/PRXQuantum.4.020358,"Duke Univ,Univ Calif Los Angeles"
10.1103/PhysRevB.95.144306,"SUNY Stony Brook,Univ Calif Irvine,Shenzhen Univ,Chinese Acad Sci"
10.1103/PhysRevA.87.062336,Univ Oxford
10.1103/RevModPhys.89.035002,"Swiss Fed Inst Technol,Tech Univ Munich,MIT"
10.1038/ncomms6786,"Eindhoven Univ Technol,Max Planck Inst Phys Komplexer Syst"
10.1016/j.optcom.2017.04.011,"Univ Fed Pernambuco,Univ Sao Paulo,Amer Phys Soc"
10.1103/PhysRevB.81.134507,Yale Univ
10.1038/NPHYS3742,"Delft Univ Technol,Eindhoven Univ Technol,Univ Toulouse"
10.1088/1361-6668/ab4918,"Karlsruhe Inst Technol,CNRS,Univ Grenoble Alpes,Univ Wurzburg"
10.1088/2058-9565/aabd98,"NASA,USRA Res Inst Adv Comp Sci,UCL,Cambridge Quantum Comp Ltd,SGT Inc,Univ Cartagena,Qubitera LLC"
10.1063/1.4807152,"Inst Photon Technol,Novosibirsk State Tech Univ"
10.1063/1.4900754,Duke Univ
10.1103/PhysRevA.93.042342,Australian Natl Univ
10.1103/PhysRevA.108.L010401,"Korea Adv Inst Sci & Technol KAIST,Korea Univ"
10.1038/s41467-023-37518-5,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1103/PhysRevLett.106.140502,"Harvard Univ,MIT,Univ Copenhagen,CALTECH"
10.1088/1751-8121/acc8a2,"Chouaib Doukkali Univ,Canadian Quantum Res Ctr"
10.1038/NPHYS2748,Univ Calif Santa Barbara
10.1109/TNS.2022.3226141,"Fed Univ Parana UFPR,Los Alamos Natl Lab,Univ Trento"
10.1038/NNANO.2010.6,"Harvard Univ,Tech Univ Munich,Texas A&M Univ"
10.1038/s41467-017-01113-2,"Univ Sherbrooke,Sandia Natl Labs,Canadian Inst Adv Res"
10.1103/PhysRevA.98.052334,"Univ Maryland,Intel Corp,IonQ Inc"
10.1364/OE.497721,Seoul Natl Univ
10.1109/TAP.2024.3427362,"Purdue Univ,Pohang Univ Sci & Technol POSTECH"
10.1209/0295-5075/92/30006,"Johannes Gutenberg Univ Mainz,Univ Sofia"
10.1103/PhysRevE.82.051116,Univ Ulm
10.1109/TASC.2021.3070469,Seoul Natl Univ
10.21468/SciPostPhys.11.4.081,Univ Pittsburgh
10.1088/2058-9565/ac1c41,"Colorado Sch Mines,Univ Texas Austin,CALTECH,Harvard Smithsonian Ctr Astrophys,Harvard Univ,MIT,Univ Maryland,Univ Calif Berkeley,Brookhaven Natl Lab,Univ Padua,Ist Nazl Fis Nucl INFN,Univ Saarland"
10.1063/5.0038087,IBM TJ Watson Res Ctr
10.1103/PhysRevA.103.052610,"Washington Univ,Univ Michigan"
10.1038/srep00571,"Harvard Univ,D Wave Syst Inc"
10.1103/PhysRevA.109.022615,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1016/j.physleta.2020.126352,CNR
10.1038/s41467-017-01895-5,"Univ Innsbruck,Austrian Acad Sci,Harvard Univ,Univ Copenhagen"
10.1007/s11128-022-03816-y,"Yanbian Univ,Fujian Normal Univ,Fujian Prov Engn Technol Res Ctr Solar Energy Conv,Fujian Prov Collaborat Innovat Ctr Adv High"
10.3390/photonics10101170,"Inst Politecn Nacl,Univ Autonoma Metropolitana Iztapalapa"
10.1038/nature10462,"NTT Corp,Res Org Informat & Syst,Osaka Univ,PRESTO JST"
10.1038/s41586-021-04273-w,"Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1007/s10773-014-2235-1,Hubei Normal Univ
10.1103/PhysRevA.109.043106,Seoul Natl Univ
10.1103/PhysRevD.110.115021,"Kyoto Univ,Univ Tokyo,QUP WPI"
10.1088/1361-6455/ac2984,Griffith Univ
10.7566/JPSJ.88.061015,Toshiba Co Ltd
10.1063/5.0083972,"Southwest Jiaotong Univ,Yokohama Natl Univ"
10.1103/PhysRevA.99.022330,"Swansea Univ,Univ Costa Rica,CSIC,Univ Complutense Madrid"
10.1088/1367-2630/18/9/093038,"Australian Natl Univ,Univ Innsbruck,Palacky Univ,Austrian Acad Sci"
10.1038/nature13407,"Univ Wisconsin,Sandia Natl Labs"
10.1038/NPHYS1863,USN
10.1063/5.0173126,"Natl Univ Singapore,Agcy Sci Technol & Res"
10.1038/s41565-021-00846-y,"Univ Grenoble Alpes,Ruhr Univ Bochum"
10.1103/PhysRevA.89.012304,Univ Sofia
10.1103/PhysRevB.101.235303,"Univ Tokyo,Univ Electrocommun,Kyoto Inst Technol,Univ Twente"
10.1103/PhysRevA.105.022623,"Univ Arizona,Univ Maryland,Univ Pittsburgh"
10.1038/s41467-024-52271-z,"Harvard Univ,Max Planck Inst Chem Phys Solids,Univ Basel,Weizmann Inst Sci,Northrop Grumman Miss Syst"
10.1088/1367-2630/13/9/093037,"Univ Catania,CNR IMM MATIS,CIRA"
10.1103/PhysRevB.99.205417,Stanford Univ
10.1103/PhysRevA.101.012302,"Rigetti Comp,Google,Atom Comp,Microsoft,IBM Quantum"
10.1103/PRXQuanttun.2.020331,"Austrian Acad Sci,Univ Innsbruck"
10.1109/TASC.2024.3354676,"Chinese Acad Sci,CAS Ctr Excellence Superconducting Elect CENSE,Univ Chinese Acad Sci,Shanghai Univ"
10.1016/j.optlastec.2021.107190,"Xiangtan Univ,China Gen Technol Res Inst,Masaryk Univ,Jinan Univ,South China Agr Univ"
10.1007/s00340-015-6285-8,Univ Innsbruck
10.1088/1367-2630/16/2/023019,"Inst Quantum Comp,Waterloo Inst Nanotechnol,Univ Waterloo,Delft Univ Technol,Perimeter Inst Theoret Phys,Harvard Univ"
10.1103/PhysRevLett.114.120502,Univ Sydney
10.1038/s41467-024-50864-2,Univ Waterloo
10.1145/3571820,Karlsruhe Inst Technol
10.1103/PhysRevA.108.042427,Sorbonne Univ
10.1038/s41467-018-04340-3,"Harvard Univ,Univ Cambridge,Sandia Natl Labs"
10.1103/PhysRevA.95.022305,"Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1364/OPTICA.512155,"Princeton Univ,Duke Univ"
10.1126/science.1208001,"Austrian Acad Sci,Univ Innsbruck"
10.1002/qute.202300007,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1103/PhysRevX.12.011040,Univ Chicago
10.1038/s41586-018-0668-z,Swiss Fed Inst Technol
10.1126/science.1203329,"Univ Innsbruck,Austrian Acad Sci"
10.1209/0295-5075/126/67002,"Nanjing Normal Univ,Southeast Univ"
10.1063/5.0052131,Linkoping Univ
10.1103/PhysRevLett.133.050203,"Univ Fed Sao Carlos,CSIC,Univ Milan,INFN Sez Milano,Univ Cote Azur"
10.1016/j.physleta.2020.126266,"CNR,ENS Paris Saclay,Politecn Milan"
10.1103/PhysRevB.104.L041402,Polish Acad Sci
10.1021/acsphotonics.3c00581,"Univ Maryland,US Army"
10.1126/sciadv.1500838,"Austrian Acad Sci,Univ Innsbruck"
10.1103/PRXQuantum.5.030321,Univ Oxford
10.1103/PhysRevA.89.032301,"US Army Res Lab,Univ Complutense,Natl Univ Ireland"
10.1007/s11467-023-1322-2,"Anqing Normal Univ,South China Normal Univ"
10.1103/PhysRevA.106.012405,"Chuo Univ,Sanyo Onoda City Univ,NTT Corp"
10.1038/nphys2545,"Univ Stuttgart,Univ Ulm,Ruhr Univ Bochum,GSI Helmholtzzentrum Schwerionenforsch,Tech Univ Darmstadt"
10.1016/j.crhy.2012.01.001,"Scuola Normale Super Pisa,Ist NanoSci CNR"
10.1103/PhysRevB.86.035313,Aalto Univ
10.1038/s41567-022-01658-0,"Univ Innsbruck,Austrian Acad Sci,Alpine Quantum Technol GmbH"
10.1103/PhysRevApplied.12.011005,"QuTech,Delft Univ Technol"
10.1002/qute.201800043,"Univ St Andrews,TU Wien,Bar Ilan Univ"
10.1103/PhysRevApplied.13.044005,"NIST,Raytheon BBN Technol,Free Univ Berlin"
10.1140/epjqt/s40507-016-0050-8,Univ Queensland
10.1007/s11128-014-0787-x,"Univ Toulouse 3,Univ Sci & Technol,Sohag Univ,Western Michigan Univ"
10.1103/PhysRevX.8.031022,"Austrian Acad Sci,Univ Innsbruck,Univ Sydney,Harvard Univ,Google Inc,Tufts Univ"
10.1140/epjqt/s40507-021-00105-y,"Univ Lisbon,Phys Informat & Quantum Technol Grp,Aalto Univ"
10.1088/2058-9565/acb3f1,"Duke Univ,IonQ,Univ Maryland"
10.1038/nature25766,"Delft Univ Technol,Univ Wisconsin"
10.1038/ncomms7182,"Karlsruhe Inst Technol,Univ Sherbrooke,Univ Queensland,RMIT Univ,Natl Univ Sci & Technol"
10.1088/2058-9565/ac84a3,"Tsinghua Univ,Beijing Acad Quantum Informat Sci,Frontier Sci Ctr Quantum Informat"
10.1103/PhysRevA.110.033116,"Oxford Ion Ltd,Quantinuum"
10.1038/s41567-021-01237-9,"NIST,Univ Colorado,Texas A&M Univ,Univ Oregon,Stanford Univ,Univ Oxford,Southern Illinois Univ"
10.1088/1674-1056/ad8a49,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1103/PhysRevB.85.241401,USN
10.1007/s11128-021-03107-y,Inner Mongolia Univ Sci & Technol
10.1103/PhysRevA.94.042308,"Univ Maryland,NIST,Indiana Univ,Lockheed Martin Corp"
10.1016/j.ijleo.2016.06.077,Jiangxi Univ Sci & Technol
10.1038/s41534-019-0169-4,"Univ Paris Diderot,Chalmers Univ Technol,PSL Res Univ,INRIA Paris"
10.1103/PhysRevLett.113.160504,"Univ Toronto,Technion Israel Inst Technol,Canadian Inst Adv Res,Univ Tokyo"
10.1038/npjqi.2016.6,"Toshiba Res Europe Ltd,Univ Cambridge,Univ Sheffield"
10.1016/j.mejo.2023.106015,Northwestern Polytech Univ
10.1103/PhysRevA.107.032413,"Univ Oregon,Univ Calif Los Angeles"
10.1103/PRXQuantum.4.030311,"Duke Univ,IonQ Inc"
10.1103/PhysRevA.105.022437,"Univ Texas San Antonio,Univ Calif Berkeley,Lawrence Livermore Natl Lab,Lawrence Berkeley Natl Lab"
10.1017/S1759078724000369,Natl Phys Lab
10.1038/s41586-021-04182-y,"RIKEN,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevX.7.031049,"Univ Innsbruck A,Austrian Acad Sci,Natl Univ Singapore,Univ Oxford,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Max Planck Inst Quantum Opt"
10.1038/srep01180,"RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1103/PhysRevB.91.134513,"Natl Inst Adv Ind Sci & Technol,Univ Loughborough,RIKEN,Moscow Inst Steel & Alloys"
10.1021/ja102030w,"Osaka Univ,JST,Osaka City Univ,RIKEN"
10.1016/j.optcom.2017.05.054,Shahid Chamran Univ Ahvaz
10.1073/pnas.1305920110,"Univ Calif Santa Barbara,Univ Konstanz,Univ Chicago"
10.1103/PhysRevA.105.L010402,"Univ Calif Santa Barbara,Ctr Astrophys Harvard & Smithsonian,Harvard Univ"
10.1038/s41534-017-0017-3,"Raytheon BBN Technol,IBM TJ Watson Res Ctr"
10.1038/ncomms12964,"MIT,Univ Calif Berkeley"
10.1103/PhysRevB.110.125105,Northeastern Univ
10.1063/1.5036521,"CSIC,Univ New South Wales,SUNY Buffalo"
10.1038/s41534-021-00396-0,Univ Waterloo
10.1063/1.5020514,"Univ Waterloo,NIST"
10.1103/PhysRevApplied.20.014024,"Univ Basque Country UPV EHU,Kipu Quantum,Shanghai Univ,Basque Fdn Sci"
10.1103/PhysRevX.11.031049,"Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1109/TASC.2014.2378033,AIST
10.1103/PhysRevA.109.032412,"Czech Acad Sci,Charles Univ Prague,Palacky Univ"
10.1103/PhysRevApplied.11.024010,"MIT,Honeywell"
10.1088/2058-9565/aa7983,"Univ Basel,Univ Innsbruck,Austrian Acad Sci"
10.1088/0953-4075/45/12/124018,"Northwestern Univ,Texas A&M Univ"
10.1103/PhysRevE.99.042121,"Koc Univ,Palacy Univ,Weizmann Inst Sci"
10.1103/PhysRevA.103.012603,Honeywell Quantum Solut
10.1103/PhysRevB.110.035413,"Marie Curie Sklodowska Univ,Adam Mickiewicz Univ"
10.1016/j.physleta.2022.128370,"PN Lebedev Phys Inst,Russian Quantum Ctr"
10.1103/PhysRevA.87.032325,"Univ Basque Country,Univ Santiago Chile,Ctr Dev Nanosci & Nanotechnol,Austrian Acad Sci,Univ Liege,Basque Fdn Sci"
10.1088/2058-9565/aaef5e,"Univ Siegen,Univ Innsbruck,Max Planck Inst Quantum Opt,Univ Konstanz,Heinrich Heine Univ Dusseldorf,Austrian Acad Sci,Leiden Univ"
10.1038/NNANO.2013.117,"UCL,Univ Oxford,Princeton Univ,Inst Crystal Growth,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1103/PhysRevLett.122.030501,"US Army,IREAP,Georgia Tech Res Inst,Univ Massachusetts,Louisiana State Univ,NIST,Univ Maryland"
10.1088/0953-2048/24/3/035005,KIT
10.1038/s41586-019-1427-5,"Univ Maryland,Natl Sci Fdn,IonQ Inc,Honeywell,IBM Thomas J Watson Res Ctr"
10.1103/PhysRevB.110.165157,"Univ Liege,CSIC"
10.1002/admi.202201244,"Univ Tokyo,Natl Inst Mat Sci,JST"
10.1038/ncomms8913,"Univ Vienna,Austrian Acad Sci"
10.1103/PhysRevA.96.062323,"Rhein Westfal TH Aachen,IBM Res Zurich,ETH"
10.1103/PhysRevA.84.032314,NIST
10.1038/nature13171,"Univ Calif Santa Barbara,Univ Calif Riverside,Univ Melbourne"
10.1088/1367-2630/ad19f9,"Quantinuum,Univ Texas San Antonio"
10.1021/acs.nanolett.7b03571,"Korea Adv Inst Sci & Technol,GIST"
10.1109/TCSI.2020.3019413,"Delft Univ Technol,Kavli Inst Nanosci,Intel Corp,Swiss Fed Inst Technol Lausanne EPFL"
10.1002/anie.201302971,"Ecole Normale Super,Coll France"
10.1364/OE.491301,Seoul Natl Univ
10.1038/srep29374,"Univ Crete,Univ Belgrade,Natl Univ Sci & Technol MISiS,Fdn Res & Technol Hellas,Nazarbayev Univ"
10.1038/s41586-024-08005-8,"CALTECH,Stanford Univ"
10.1364/OE.24.016638,"Griffith Univ,Australian Natl Univ"
10.1007/s11128-019-2492-2,"Hunan Normal Univ,Hunan Inst Sci & Technol"
10.1038/nature12513,"Delft Univ Technol,Univ Colorado"
10.1103/PhysRevA.107.062406,"Oak Ridge Natl Lab,Georgia Tech Res Inst"
10.1038/s41567-023-02346-3,Princeton Univ
10.3390/e25020387,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1063/5.0101398,"KTH Royal Inst Technol,Intermodulat Prod AB,Chalmers Univ Technol"
10.1038/NPHYS1781,"Univ Innsbruck,Austrian Acad Sci,Univ Siegen"
10.3390/nano12234155,"CNR ISASI,Univ Napoli Federico II,CNR SPIN,CNR Ist Nazl Ott CNR INO"
10.1103/PhysRevLett.115.093602,"Univ Stuttgart,Univ Ulm,Ruhr Univ Bochum"
10.1038/s41377-021-00608-4,Nanjing Univ
10.1140/epjst/e2013-01751-1,Univ Complutense
10.1088/2058-9565/ac0f36,"Dodd Walls Ctr Photon & Quantum Technol,Univ Otago,IST Austria,Max Planck Inst Sci Light,Russian Acad Sci"
10.1088/1367-2630/abbab6,"CSIC,Univ Carlos III Madrid,Austrian Acad Sci,Univ Innsbruck"
10.1038/s41467-018-04341-2,Univ Saarland
10.1103/PhysRevA.102.012429,"Univ Fed Rio Grande do Norte,CNR INO,LENS"
10.1103/PhysRevA.85.040302,"Univ Ulm,Phys Tech Bundesanstalt,Univ Hannover"
10.1088/1361-6668/ab8617,"Lawrence Berkeley Natl Lab,Univ Calif Berkeley,MIT"
10.1038/s41598-018-26066-4,"KIT,Univ Glasgow"
10.1038/s41467-017-02298-2,"Univ Sydney,Natl Measurement Inst,Dartmouth Coll,Johns Hopkins Univ"
10.1103/PhysRevA.93.013412,"Univ Maryland,NIST"
10.1038/s41586-021-03557-5,"Univ Wisconsin,Fermilab Natl Accelerator Lab,Univ Chicago,Stanford Univ,Ist Nazl Fis Nucl,Sorbonne Univ,Google Inc,Lawrence Livermore Natl Lab"
10.1016/j.ijms.2024.117217,"St Pauls Cathedral Mission Coll,Natl Univ Singapore,ASTAR"
10.1103/PhysRevA.103.032224,"Aix Marseille Univ,Ecole Normale Super"
10.1021/nl503081n,"Univ Sci & Technol China,Univ Wurzburg,Univ St Andrews"
10.1038/s41598-020-70766-9,"Nagoya Univ,Natl Inst Informat & Commun Technol"
10.1038/nature13177,Max Planck Inst Quanten Opt
