단어,문서개수
abelion,1
aberration,4
ability,20
ablation,1
absence,4
absorption,1
abstraction,2
abundance,1
acceleration,2
accent,1
acceptor,2
access,14
account,2
accumulation,2
accuracy,18
acid,1
act,3
action,2
activity,1
adaptation,1
adaptive,2
addition,9
address,17
adiabatic,1
adiabatic quantum,1
adiabaticity,4
adjustment,2
advance,2
advancement,2
advantage,38
advent,1
adversary,2
aese,1
affect,1
agent,1
agreement,9
aid,1
aim,1
aip,2
aklt,1
algebra,2
algo,1
algorithm,41
alignment,2
alkaline,1
allocation,2
alpha,2
alphabet,1
alternate,1
alternative,2
aluminum,1
ambiguity,1
america,1
amount,8
amplification,1
amplitude,17
analog,7
analogous,1
analogue,1
analyse,1
analyzer,2
ancilla,7
angle,4
anharmonicitie,1
anharmonicity,2
ansatz,5
ansatze,2
antisqueeze,1
antisymmetric,1
anyon,1
ape,1
aperture,2
apparatus,2
appl,1
applicability,4
approxima,1
approximate,1
approximation,15
arbitrary,1
architecture,40
area,7
arrangement,1
array,32
arrival,1
arrow,1
art,19
article,2
aspect,3
assembly,2
asset,2
assortment,1
assumption,5
astronomy,1
asymmetry,1
atom,23
attack,2
attain,1
attempt,1
attention,4
attenuation,1
aug,1
author,7
auto,1
autocorrelation,1
automata,3
automation,1
automaton,2
automorphism,1
autoregre,1
avalanche,1
avenue,6
avoidance,1
avtz,1
awg,1
axial,1
axis,8
backbone,1
background,4
backgroundnoise,1
backgroundratio,1
balance,2
band,4
bandwidth,1
barenco,1
barium,3
barrier,2
baryon,1
base,1
basednetwork,1
basis,17
batch,2
bath,2
bayesian,1
beam,25
beat,1
bed,2
behalf,1
behavior,6
behaviour,3
belief,1
bell state,4
benchmark,8
benchmarke,6
benefit,3
bespoke,1
bessel,1
beta,1
biard,1
bias,2
bilayer,1
bind,8
biochemistry,1
biology,2
bipartition,1
birth,1
bit,11
bloch,2
block,5
blockade,2
blueprint,3
body,20
boltzmann,1
bond,1
border,1
borromean,1
boson,4
bosonic,2
bottleneck,3
boundary,4
bqc,2
brachistochrone,1
bragg,1
braid,1
branch,1
brassard,1
breach,1
breadth,1
break,5
breakdown,1
breather,1
bridge,1
brink,1
broadband,3
broadbent,1
broadcast,1
brown,1
budget,3
build,3
buildup,1
bulk,1
bump,1
burst,1
bus,1
byproduct,1
calculation,9
calibration,4
cambridge,1
camera,4
cancellation,4
candidate,18
capability,30
capacity,3
carlo,3
carr,1
carrier,12
category,2
causal,1
cavity,4
cell,2
cent,5
center,13
centre,4
centroid,1
certification,1
cesium,2
chain,27
challenge,35
chance,1
change,10
channel,8
chaos,3
character,1
characterisation,1
characteristic,6
characterization,11
charge,11
check,5
checkpoint,1
chemical,2
chemistry,5
chi,2
chip,10
choice,5
chromodynamic,1
chsh,1
cie,1
cient,1
circle,1
circuit,74
circumflex,1
class,19
classification,3
classifier,2
clause,1
clauser,1
client,2
clifford,3
clock,13
closure,1
cloud,1
cluster,3
clutter,1
cmos,1
cnot,6
coalescence,1
coarse,1
cod,1
code,30
coefficient,2
coherence,35
coherencetime,1
coincidence,1
collapse,2
collection,4
collision,1
color,9
colour,2
com,2
comb,3
combination,7
comm,1
communication,9
community,1
comparison,13
compatibility,1
compensation,4
compilation,7
compiler,1
complementarity,1
complex,3
complexity,10
complie,1
component,16
computation,51
computer,19
concatenation,1
concept,7
concern,2
concurrence,1
condition,18
conductor,2
conduit,1
cone,2
confidence,2
configuration,10
confinement,4
conjecture,2
conjugation,1
conjunction,2
connection,8
connectivity,16
consequence,1
conservation,1
consideration,3
consistency,1
consistent,1
constant,1
constraint,10
construction,2
consumption,1
contact,2
contamination,1
contender,1
context,4
continuum,1
contrast,5
contribution,7
control,63
controllability,1
controller,1
convenience,1
converge,2
convergence,3
conversion,7
cool,16
coordinate,1
copy,3
core,4
correct,1
correction,17
correlation,17
correlator,1
coset,1
cost,9
coulomb,5
count,2
counter,3
countermeasure,1
counterpart,7
couple,24
coupler,3
course,1
cowire,1
creation,4
criterion,4
criticality,1
crook,1
cross,4
crossover,2
crosstalk,21
crucialin,1
cryostat,1
cryptography,1
crystal,26
cumme,1
cupation,1
curve,1
cycle,5
dataset,1
date,5
datum,21
day,4
death,1
decade,3
decay,4
decoder,1
decoherence,31
decomposition,7
decouple,6
decrease,2
defect,4
defense,1
deformation,1
degeneracy,2
degradation,2
degree,20
delay,2
delivery,2
demand,3
demolition,1
demon,2
demonstration,32
density,9
departure,1
dependence,8
dependency,1
dephase,5
depolarize,2
depth,23
derivation,3
description,6
detect,1
detection,26
detector,7
determination,3
deterministically,1
detune,6
developer,1
deviation,3
device,43
dfs,1
diabaticity,1
diagnostic,1
diagram,3
diameter,1
diamond,5
dicke,7
difference,5
difficulty,3
diffusion,1
digit,2
digital,3
digitization,1
dimension,13
dimensionality,2
diploe,1
dipole,7
direction,11
directionality,1
disadvantage,2
disagreement,1
discovery,1
discretization,1
discrimination,4
discriminator,1
discussion,1
disentangle,1
disorder,2
displacement,5
display,1
disposal,1
dissipation,11
dissipative,1
dissociation,1
distance,13
distillation,3
distortion,1
distribution,11
disturbance,3
dna,1
dodecapole,1
domain,2
donor,3
doppler,5
dose,1
double,1
dozen,1
drawback,1
dress,1
drift,7
drive,18
drop,1
drug,2
dtc,1
dtcs,1
dual,1
duffe,1
dummy,1
duration,6
dynamic,45
dyson,1
earth,2
ease,3
eavesdropper,1
eavesdropping,1
echo,1
economic,1
edge,3
effectiveness,1
efficacy,2
efficiency,20
effort,4
eigenenergie,1
eigensolver,6
eigenstate,6
eigenvalue,1
eigenvector,2
eit,1
eld,1
electric,1
electrode,4
electrodynamic,3
electromechanic,1
electron,16
electrontransfer,1
element,13
elimination,2
embodiment,1
emccd,1
emergence,3
emission,8
emitter,2
encode,20
end,11
energy,27
engine,1
engineering,11
enhancement,5
ensemble,3
entan,1
entangle,3
