DOI,Institutions
10.1103/PhysRevX.5.011009,"Technion Israel Inst Technol,Nicolaus Copernicus Univ"
10.1002/qute.202000011,"Univ British Columbia,Univ Tokyo"
10.1103/PhysRevB.100.075433,"Ist Italiano Tecnol,Univ Genoa,Scuola Normale Super Pisa,Univ Florence,Ist Nazl Fis Nucl,Bedimens Spa"
10.1103/PRXQuantum.5.030322,"Korea Inst Sci & Technol KIST,Seoul Natl Univ,Korea Univ,Univ Sydney,Univ Chicago"
10.1126/science.aau4691,"Harvard Univ,CALTECH,Sandia Natl Labs"
10.1038/NPHOTON.2013.48,"Univ Maryland,NIST"
10.1038/srep26338,"Univ Surrey,Korea Inst Adv Study"
10.1038/s41586-024-07252-z,"Harvard Univ,AWS Ctr Quantum Networking,MIT"
10.1021/acsami.1c16988,"Ajou Univ,Univ Chicago,Argonne Natl Lab"
10.1038/s41567-022-01875-7,"Australian Natl Univ,Friedrich Schiller Univ Jena,Univ Cambridge,Inst Expt Phys,Fraunhofer Inst Appl Opt & Precis Engn IOF,Max Planck Sch Photon,Macquarie Univ,Amazon Web Serv,Inst Quantum Opt & Quantum Informat,Alpine Quantum Technol AQT,Nanyang Technol Univ,ASTAR"
10.1103/PhysRevApplied.21.044030,"Tsinghua Univ,Hefei Natl Lab"
10.1038/s41563-021-01148-3,"Univ Stuttgart,Kyoto Univ,Fraunhofer Inst Integrated Syst & Device Technol,Helmholtz Zentrum Dresden Rossendorf,Leibniz Inst Surface Engn IOM,Univ Calif Davis,Linkoping Univ"
10.1103/PhysRevA.99.052126,"Washington Univ,Southern Univ Sci & Technol,Inst Mat Sci & Engn"
10.1103/PhysRevApplied.18.L061003,"Virginia Tech,Univ Colorado Boulder,Univ Delaware"
10.1038/s42005-020-0307-5,"Aalto Univ,Univ Ulm"
10.1103/PhysRevB.109.134106,"Univ Melbourne,CUNY City Coll New York"
10.1103/PhysRevLett.132.150604,"Univ Oxford,Sorbonne Univ,Univ Maryland,Univ Edinburgh"
10.1088/2058-9565/aa7c50,"Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,INFN"
10.1038/s41586-021-03809-4,"NIST,Univ Colorado,Lawrence Livermore Natl Lab,Univ Texas San Antonio,Univ Oregon,Univ Oxford,Stanford Univ"
10.1103/PhysRevA.98.062327,"RIKEN Cluster Pioneering Res,Univ Michigan,Chalmers Univ Technol"
10.1063/5.0138627,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevX.11.041041,"Univ Cambridge,MIT,CCDC Army Res Lab,Delft Univ Technol"
10.1103/PhysRevLett.128.013601,"Univ Maryland,Univ Alberta"
10.1364/OE.26.030689,"Shangrao Normal Univ,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ"
10.1103/PhysRevLett.107.053602,"Princeton Univ,ETH,Natl Inst Stand & Technol"
10.1140/epjp/s13360-022-03251-z,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1016/j.optcom.2017.01.056,"Chungbuk Natl Univ,Korea Inst Sci & Technol,Natl Secur Res Inst"
10.1103/PhysRevA.106.L030402,"Univ Maryland,Forschungszentrum Julich,Julich Aachen Res Alliance"
10.1007/s11128-015-1147-1,"Coll Informat & Nav,Xian Commun Coll"
10.1103/PhysRevApplied.14.064033,"Syracuse Univ,Univ Fed Santa Catarina,Saarland Univ,Univ Colorado,SeeQC Inc,Res Ctr Julich,US Air Force Res Lab"
10.1103/PhysRevX.9.011021,"Princeton Univ,Univ Maryland"
10.1364/OL.43.005765,"Hangzhou Normal Univ,Univ Sci & Technol China,Nanjing Univ"
10.1103/PhysRevA.89.033857,"Princeton Univ,IBM Corp,Yale Univ"
10.1103/PhysRevA.107.032616,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevB.101.245415,"Univ Nacl Cuyo,Consejo Nacl Invest Cient & Tecn"
10.1103/PhysRevLett.133.203603,"Zhejiang Univ,Univ Elect Sci & Technol China,Univ Basel,Ruhr Univ Bochum,TU Dortmund"
10.1038/s41467-021-24494-x,"Hasselt Univ,Czech Tech Univ,Czech Acad Sci,Univ Vienna,Wigner Res Ctr Phys,Linkoping Univ,IMEC,Budapest Univ Technol & Econ"
10.1007/s11467-022-1163-4,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1038/s41467-022-33921-6,"Tsinghua Univ,Hefei Natl Lab"
10.1063/1.4994661,"CALTECH,IST Austria"
10.1002/qute.202400141,"Lomonosov Moscow State Univ,RAS,Moscow MV Lomonosov State Univ,Skolkovo Inst Sci & Technol,PSL Res Univ"
10.1038/NNANO.2017.154,"Princeton Univ,Lawrence Berkeley Natl Lab"
10.1103/PhysRevX.8.041050,"Technion Israel Inst Technol,Natl Res Council Canada,Univ Ottawa"
10.1038/s41567-018-0199-4,"Aalto Univ,Natl Taiwan Univ,Acad Sinica"
10.1063/1.5004147,"Tech Univ Berlin,Technion Israel Inst Technol,Univ Washington,Otto von Guericke Univ"
10.1038/nature18648,"Univ Maryland,IonQ Inc"
10.1103/PhysRevLett.114.080501,"Univ Chicago,Univ Maryland,IBM Corp"
10.1038/s41598-022-21267-4,"Adam Mickiewicz Univ,Palacky Univ"
10.1038/s41565-022-01282-2,"Univ Cambridge,Johannes Kepler Univ Linz,Indian Inst Technol Delhi,Univ Sheffield,Univ Oxford"
10.1007/s11433-014-5591-1,"Shaoguan Univ,Lanzhou Univ Technol,Natl Univ Singapore"
10.1364/JOSAB.33.000C50,"Univ Arizona,Sandia Natl Labs"
10.1021/nl303075q,"Univ Sheffield,Tech Univ Munich"
10.1007/s11128-020-2578-x,"Zhejiang Univ Sci & Technol,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ,Shangrao Normal Univ"
10.1103/PhysRevB.104.174202,"Karlsruhe Inst Technol,Landau Inst Theoret Phys,Natl Univ Sci & Technol MISIS,Russian Quantum Ctr"
10.1103/PhysRevLett.131.113601,"Fuzhou Univ,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp RQC,Chinese Acad Sci,Univ Chinese Acad Sci,South China Univ Technol,Zhejiang Univ,Adam Mickiewicz Univ,Univ Michigan"
10.1088/1612-2011/13/8/085201,"Hefei Normal Univ,Anhui Xinhua Univ,Nanjing Univ"
10.1038/s41534-024-00914-w,"Univ Waterloo,Inst Quantum Comp,Perimeter Inst Theoret Phys,Ki3 Photon Technol,Univ Ottawa"
10.1364/OE.24.000125,"Univ Geneva,NIST,CALTECH,Univ Basel"
10.1038/s41567-024-02408-0,"CALTECH,Univ Innsbruck,Austrian Acad Sci"
10.1103/PhysRevLett.121.183603,"CALTECH,Univ Chicago,NIST"
10.1038/s41566-017-0050-y,"Max Planck Inst Quantum Opt,OHB Syst AG,TOPTICA Photon AG"
10.1038/s41467-022-28670-5,"IBM Res Europe,Swiss Fed Inst Technol,Swiss Fed Inst Technol Lausanne FPFL"
10.1103/PhysRevLett.124.120501,"Tsinghua Univ,Fuzhou Univ"
10.1063/5.0137728,"Moscow MV Lomonosov State Univ,Russian Quantum Ctr,South Ural State Univ SUSU"
10.1103/PhysRevApplied.20.024058,"Univ Queensland,Swiss Fed Inst Technol,Univ Innsbruck,Austrian Acad Sci,Rhein Westfal TH Aachen"
10.1103/PhysRevLett.120.100501,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1103/PhysRevX.11.011015,"CALTECH,AWS Ctr Quantum Comp,CSIC,IFF CSIC"
10.1038/s41566-018-0236-y,"Univ Bristol,Natl Univ Def Technol,AMS,Sun Yat sen Univ,Peking Univ,Univ Western Australia,Univ Queensland"
10.1103/PhysRevX.12.031036,"Chalmers Univ Technol,Barcelona Inst Sci & Technol,Univ Palermo,CNR,Ecole Polytech Fed Lausanne,Ecole Polytech Fed Lausanne EPFL,Swiss Fed Inst Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1109/JSSC.2024.3459392,"Delft Univ Technol,TNO"
10.1038/srep06115,"Univ Vienna,Harvard Univ,Univ Queensland"
10.1038/s41467-024-47882-5,"Sandia Natl Labs,Quantinuum LLC"
10.1103/PhysRevA.100.043843,"RAS,Kazan Fed Univ"
10.1088/1361-6668/aad8f4,"Bayer Akad Wissensch,Tech Univ Munich,Nanosyst Initiat Munich,CSIC,Univ Mayor,Univ Grenoble Alpes,CNRS"
10.1007/s11433-010-4014-1,"Chinese Acad Sci,Univ Sci & Technol China"
10.1126/sciadv.abb8780,"MIT,Chalmers Univ Technol"
10.1103/PhysRevA.87.062333,"Palacky Univ,Acad Sci Czech Republ"
10.1088/1674-1056/22/9/090307,"Qufu Normal Univ,Shandong Univ"
10.1103/PhysRevA.83.010302,"Queens Univ Belfast,Univ Basque Country,Univ London Imperial Coll Sci Technol & Med"
10.1103/PRXQuantum.4.020328,"Univ Bristol,Univ Copenhagen"
10.1103/PhysRevA.104.032403,"Natl Cheng Kung Univ,Ctr Quantum Technol"
10.1103/PRXQuantum.4.030340,"Hong Kong Polytech Univ,Nanyang Technol Univ,Univ Copenhagen,Univ Bristol,Tongji Univ,ASTAR,Adv Micro Foundry,Natl Univ Singapore"
10.1038/s41586-021-03290-z,"Max Planck Inst Quantum Opt,Barcelona Inst Sci & Technol"
10.1016/j.scib.2018.11.010,"Tsinghua Univ,Univ Sci & Technol China"
10.1016/j.ssc.2017.11.013,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41467-024-49467-8,"Swiss Fed Inst Technol Lausanne EPFL,Ctr Quantum Sci & Engn EPFL,Purdue Univ"
10.1103/PhysRevB.91.094517,"RIKEN,Univ Tokyo"
10.1016/j.physleta.2017.01.052,"Chungbuk Natl Univ,Korea Inst Sci & Technol,Natl Secur Res Inst"
10.1038/s41534-023-00751-3,"Toshiba Europe Ltd,Univ Cambridge"
10.1002/qute.202100002,"Tech Univ Berlin,Ruhr Univ Bochum,Univ Bremen,Tech Univ Munich,Univ Paderborn"
10.1103/PhysRevLett.128.213602,"Harvard Univ,AWS Ctr Quantum Comp,Univ Hamburg,Hamburg Ctr Ultrafast Imaging,Hebrew Univ Jerusalem"
10.1038/s41598-020-61938-8,"Korea Inst Sci & Technol KIST,Korean Intellectual Property Off,Chungbuk Natl Univ,Korea Univ,Korea Univ Sci & Technol"
10.1063/5.0207714,"ETRI,Korea Adv Inst Sci & Technol,Univ Trento"
10.1038/s41534-021-00385-3,"Chinese Acad Sci,Univ Chinese Acad Sci,RIKEN,Beijing Acad Quantum Informat Sci,UCAS,Songshan Lake Mat Lab"
10.1103/PhysRevA.88.035806,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41534-023-00722-8,"Univ Queensland,Rhein Westfal TH Aachen"
10.1103/PhysRevA.109.022413,"Austrian Acad Sci,Univ Vienna,Univ Fed Rio de Janeiro,Oklahoma State Univ,Tech Univ Darmstadt"
10.1103/PhysRevA.104.033714,"East China Normal Univ,Shanxi Univ,NYU Shanghai"
10.1021/acs.nanolett.3c01511,"MIT,Sandia Natl Labs,MITRE Corp,Univ Arizona"
10.1103/PhysRevLett.114.203602,"Southeast Univ,Univ Sci & Technol China,Univ Calgary,Canadian Inst Adv Res,East China Normal Univ,Beijing Inst Mech & Elect Space"
10.1038/s41534-022-00627-y,"Nanyang Technol Univ,Shanghai Jiao Tong Univ,City Univ Hong Kong,Sun Yat sen Univ,Natl Univ Singapore,Natl Inst Educ"
10.1038/srep06237,"S China Normal Univ,Anhui Xinhua Univ,Univ Hong Kong,Huazhong Univ Sci & Technol,Tsinghua Univ,Nanjing Univ"
10.1088/1361-6455/ab9273,"Zhejiang Normal Univ,Tongji Univ"
10.1103/PhysRevApplied.6.014019,"Univ Calif Santa Barbara,Univ Southampton,Univ Chicago"
10.7567/1347-4065/ab5b62,"Univ Tokyo,Osaka Univ,Ruhr Univ Bochum,Univ Electrocommun"
10.1038/lsa.2016.64,"Univ Roma La Sapienza,CNR,Politecn Milan,CNRS,Univ Bristol"
10.1103/PhysRevA.104.053522,"Inst Fundamental Phys IFF CSIC,Max Planck Inst Quantum Opt"
10.1038/ncomms13454,"Univ Calgary,Natl Res Council Canada"
10.1103/PhysRevApplied.18.044046,"Korea Inst Sci & Technol KIST,Yonsei Univ,Nicolaus Copernicus Univ,Korea Univ Sci & Technol,Korea Adv Inst Sci & Technol KAIST"
10.1088/0031-8949/2010/T140/014014,"Univ Palermo,Univ Turku"
10.1103/PhysRevApplied.21.L061002,"Univ Sci & Technol China,Lanzhou Univ,Hefei Natl Lab"
10.1038/ncomms11339,"RMIT Univ,Univ Sydney,CNR,Politecn Milan,South Univ Sci & Technol China"
10.1103/PhysRevA.82.042327,"RIKEN,Fuzhou Univ,Hangzhou Normal Univ,Univ Michigan"
10.1103/PhysRevLett.117.040402,"RMIT Univ,Univ Sydney"
10.1134/S1054660X11150175,"Tatarstan Acad Sci,Russian Acad Sci,Kazan VI Lenin State Univ"
10.1126/science.adf9887,"Univ Paris Saclay,Korea Adv Inst Sci & Technol,Natl Inst Mat Sci,NTT Corp"
10.1103/PhysRevApplied.21.014015,"Univ Chicago,Argonne Natl Lab"
10.1088/1555-6611/aae279,"Tatarstan Acad Sci,Russian Acad Sci"
10.1364/OE.482008,"Simon Fraser Univ,Photonic Inc,Univ Montreal,Leibniz Inst Kristallzuchtung,Vitcon Projectconsult GmbH"
10.1103/PhysRevApplied.14.064004,"Univ Concepcion,Univ Bio Bio"
10.1063/1.5125224,"Univ Witwatersrand,Natl Univ Sci & Technol MISIS"
10.1103/PhysRevA.106.032613,"Aliro Technol Inc,Univ Arizona,Univ Pittsburgh,Univ Chicago,Princeton Univ,Harvard Univ"
10.1088/1367-2630/ab8e13,"Univ Sci & Technol Beijing,Natl Univ Singapore"
10.3390/e16063121,"Ctr Nacl Metrol,Tecnol Monterrey"
10.1103/PhysRevLett.105.220501,"Inst Quantum Opt & Quantum Informat,Univ Innsbruck,Inst Theoret Atom Mol & Opt Phys,Univ Copenhagen,Harvard Univ"
10.1007/s11433-014-5549-3,"Hengyang Normal Univ,Hunan Normal Univ"
10.1364/OE.520492,"Pukyong Natl Univ,Univ Trento"
10.1103/PhysRevA.98.033833,"Natl Univ Singapore,Nanyang Technol Univ,UMI 3654,Univ Catania,INFN"
10.1103/PhysRevLett.122.070402,"Univ Sci & Technol China,Griffith Univ"
10.1039/c4fd00206g,"Univ Zaragoza,CSIC,Fdn ARAID"
10.1103/PhysRevA.105.022611,"Max Planck Inst Quantum Opt,Munich Ctr Quantum Sci & Technol MCQST"
10.1063/1.5100160,"Univ Tokyo,JST"
10.1038/ncomms8948,"Univ Bristol,Univ Strathclyde,Univ Glasgow"
10.1088/1367-2630/ac60df,"Xi An Jiao Tong Univ,Hubei Univ Automot Technol"
10.3390/mi11121111,"Peking Univ,Univ Sci & Technol China,Shanxi Univ"
10.1088/1367-2630/14/8/085006,"Univ Roma La Sapienza,Queens Univ Belfast,Univ Ulm,Ist Nazl Ott INO CNR"
10.1364/PRJ.452539,"Peking Univ,CAS Univ Sci & Technol China,Shanxi Univ"
10.1103/PhysRevA.94.052334,"Palacky Univ,Acad Sci Czech Republic,Adam Mickiewicz Univ"
10.1103/PhysRevLett.114.173601,"Tech Univ Darmstadt,Oklahoma State Univ,Max Planck Inst Phys Lichts,Univ Erlangen Nurnberg"
10.1103/PhysRevA.83.042320,"Palacky Univ,Acad Sci Czech Republ"
10.1103/PhysRevA.98.050101,"NEST,Ist NanoSci CNR,Univ Roma Tre,Univ Firenze,INFN Sez Firenze,Sorbonne Univ,Ist Nazl Ottica CNR"
10.1103/PhysRevX.4.031039,"Univ Oxford,Univ Maryland"
10.1103/PhysRevB.90.195112,"Natl Univ Singapore,Chinese Acad Sci,Soochow Univ"
10.1002/andp.201900160,"Zhengzhou Univ,Bohai Univ,Henan Univ Engn,Chuangchun Univ"
10.1103/PhysRevA.100.032330,"East China Normal Univ,New York Univ Shanghai,Southern Univ Sci & Technol,Univ Arizona,Univ Sci & Technol China,Louisiana State Univ,USTC,NYU Shanghai,Natl Inst Informat & Commun Technol,Indiana Univ Purdue Univ,Natl Inst Informat,NYU"
10.1063/5.0103361,"Nanyang Technol Univ,Univ Southampton"
10.1038/s41567-019-0727-x,"Univ Bristol,Tech Univ Denmark,Peking Univ,Beijing Acad Quantum Informat Sci,Austrian Acad Sci,Heriot Watt Univ,Sun Yat sen Univ,Univ Western Australia"
10.1103/PhysRevApplied.19.054029,"MIT,Univ Arizona,Tech Univ Denmark,Univ Massachusetts,Brookhaven Natl Lab"
10.1103/PhysRevA.84.022325,"Univ Waterloo,Max Planck Inst Sci Light,Univ Erlangen Nurnberg"
10.1142/S0219749910006435,"Keio Univ,Stanford Univ,Res Org Informat & Syst,Univ Melbourne"
10.1103/PhysRevA.96.012324,"Univ Waterloo,Natl Res Council Canada,Univ Ottawa,Univ Toronto"
10.1038/s41566-023-01224-x,"Univ Calif Los Angeles,Columbia Univ,Nanjing Univ,Middle East Tech Univ,Inst Microelect,Shanghai Inst Microsyst & Informat Technol,Shanghai Ind Technol Res Inst,Adv Micro Foundry,MIT"
10.1038/srep04543,"Univ KwaZulu Natal,Inst Math Sci,CSIR"
10.1038/srep12790,"Yanbian Univ,Harbin Inst Technol"
10.1103/PhysRevLett.129.133601,"Natl Univ Def Technol,China Greatwall Technol Grp CO LTD,Natl Innovat Inst Def Technol"
10.1364/OPTICA.5.001492,"Natl Univ Def Technol,Chinese Acad Sci"
10.1103/PhysRevA.98.043842,"Univ Calgary,Natl Res Council Canada,Univ Ottawa"
10.1088/1367-2630/aa9b5c,"Univ Bristol,Univ KwaZulu Natal"
10.1103/PhysRevA.105.062407,"Univ New South Wales,Northrop Grumman Corp"
10.1038/s41467-024-50667-5,"Harvard Univ,Univ Chicago,Univ Tokyo,Argonne Natl Lab"
10.1103/PhysRevA.85.062317,"Univ Cent Florida,Univ Camerino,Boston Univ"
10.1103/PhysRevA.88.012327,"Univ Waterloo,Palacky Univ,Acad Sci Czech Republ,IP AS CR"
10.1038/s41467-022-28767-x,"Peking Univ,Beijing Acad Quantum Informat Sci,Zhejiang Univ,Chinese Acad Sci,Tech Univ Denmark,Univ Bristol,Univ Western Australia,Shanxi Univ"
10.1126/science.aah4758,"Technion Israel Inst Technol,Univ Washington"
10.1063/5.0193471,"Hangzhou Dianzi Univ,Nanyang Technol Univ"
10.1038/NPHYS1885,"Univ Calif Santa Barbara,NEC Corp Ltd"
10.1103/PhysRevLett.116.070501,"Univ Waterloo,Univ Moncton,Univ Seville,Canadian Inst Adv Res"
10.1088/2058-9565/ad0a48,"Swiss Fed Inst Technol,Univ Appl Sci & Arts Northwestern Switzerland"
10.1088/2058-9565/aa629b,"Barcelona Inst Sci & Technol,Univ Bristol,Univ Fed Rio de Janeiro,Univ Calgary,Univ Fed Santa Catarina"
10.1103/PhysRevA.96.043808,"Raytheon BBN Technol,Harvard Univ"
10.1103/PhysRevX.10.021071,"Univ Copenhagen,Delft Univ Technol,Harvard Smithsonian Ctr Astrophys,Harvard Univ,Humboldt Univ"
10.1364/OE.27.037214,"Univ Waterloo,Canadian Inst Adv Res"
10.1016/j.physleta.2013.09.005,"Yanbian Univ,Dalian Univ Technol,Chungbuk Natl Univ"
10.1103/PhysRevA.109.032415,"Univ Sci & Technol China,Shanxi Normal Univ,Tongji Univ"
10.1038/s41598-022-09116-w,"Ctr Invest Cient & Educ Super,Univ Nacl Autonoma Mexico"
10.1021/acsnano.3c11739,"Univ Bordeaux,Inst Opt,CNRS,Mat Phys Ctr CSIC,Donostia Int Phys Ctr DIPC,Ulm Univ,L F Vereshchagin Inst High Pressure Phys,Tours Univ,Basque Fdn Sci,Univ Basque Country UPV EHU"
10.1038/s41467-022-32807-x,"Leibniz Inst Forsch Verbund Berlin eV,NTT Corp,Queens Univ"
10.1103/PhysRevLett.107.190402,"Univ Paris 07,CNRS"
10.1103/PhysRevLett.128.090502,"Leibniz Univ Hannover,MaX Born Inst,Cluster Excellence PhoenixD Photon Opt & Engn Inn"
10.1103/PhysRevA.91.022325,"Univ Vienna,Chapman Univ"
10.1126/sciadv.aaw6664,"Univ Geneva,Stockholm Univ,Hungarian Acad Sci"
10.1103/PhysRevA.85.022340,"Louisiana State Univ,Stanford Univ"
10.1109/JLT.2022.3175128,"Bar Ilan Univ,Tel Aviv Univ"
10.1038/srep45353,"Hokkaido Univ,Osaka Univ,Kyoto Univ,Hiroshima Univ"
10.1103/PhysRevLett.111.150501,"Univ Oxford,Shanghai Jiao Tong Univ"
10.1038/s41467-017-01304-x,"IST Austria,CALTECH"
10.1103/PhysRevA.82.012309,"Univ Calgary,Russian Acad Sci"
10.1142/S0218863522500059,"Birla Inst Technol & Sci Pilani,Univ Sci & Technol"
10.1103/PhysRevA.90.042302,"Univ Vienna,Univ Innsbruck,Austrian Acad Sci"
10.1364/OE.394050,"Sun Yat sen Univ,Peking Univ"
10.1021/acsphotonics.8b01455,"CSIC,Max Planck Inst Quantum Opt,Univ Politecn Valencia"
10.1103/PhysRevLett.122.090404,"Univ Sci & Technol China,Shanghai Jiao Tong Univ,Wuhan Inst Technol,Capital Normal Univ,Max Planck Inst Math Sci,Southern Univ Sci & Technol"
10.1364/OE.25.007839,"Palacky Univ,Univ KwaZulu Natal,Washington Univ"
