DOI,Institutions
10.1038/ncomms2764,"Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1038/nature09801,"Austrian Acad Sci,Univ Innsbruck"
10.1038/nature13729,"Tsinghua Univ,Univ Michigan"
10.1038/NPHYS1731,"Natl Inst Stand & Technol,Univ Colorado"
10.1038/nature12801,"NIST,Univ Copenhagen"
10.1103/PhysRevA.107.012609,"Delft Univ Technol,Univ Chicago"
10.1103/PhysRevApplied.19.034001,"Univ Maryland Coll Pk,Univ Maryland,MIT,US Army"
10.1038/s41598-024-60478-9,"Korea Inst Sci & Technol Informat,Ulsan Natl Inst Sci & Technol,Korea Univ"
10.1088/0256-307X/30/7/073701,"Chinese Acad Sci,Univ Chinese Acad Sci"
10.1038/s41467-021-24693-6,"Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1038/nature24654,"Univ Maryland,Natl Inst Stand & Technol,IonQ Inc,Colorado Sch Mines"
10.1103/PhysRevA.90.022323,"Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol"
10.1088/0253-6102/55/5/09,"Nanping Teachers Coll,Fuzhou Univ"
10.1063/5.0059966,"Univ Maryland,US Army Res Lab"
10.1088/2058-9565/ad085b,"Leibniz Univ Hannover,Phys Tech Bundesanstalt"
10.1088/1367-2630/18/8/083030,"Georgia Tech Res Inst,Georgia Inst Technol,Univ Maryland"
10.1103/PhysRevA.96.052316,"Shandong Univ,Uppsala Univ"
10.1038/nature13436,"Yale Univ,INRIA Paris Rocquencourt"
10.1103/PhysRevLett.122.040404,"Chapman Univ,CALTECH"
10.1103/PhysRevA.84.012314,"Heriot Watt Univ,Univ Turku,Queens Univ"
10.1103/PhysRevApplied.6.044010,"Univ Waterloo,INGUN Prufmittelbau GmbH,INGUN USA Inc,Google Inc,Chalmers Univ Technol,Univ Toronto"
10.1007/s00340-013-5541-z,"Chinese Acad Sci,Univ Chinese Acad Sci"
10.1103/PhysRevLett.117.220501,"Univ Sussex,Imperial Coll London,Hebrew Univ Jerusalem"
10.1103/PhysRevA.85.032334,"UCL,Univ London Imperial Coll Sci Technol & Med"
10.1103/PhysRevA.97.013825,"Univ Ulm,TU Wien"
10.1088/1367-2630/17/5/053032,"Univ Ulm,Univ London Imperial Coll Sci Technol & Med,Hebrew Univ Jerusalem"
10.1038/srep04910,"Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1103/PhysRevApplied.21.054067,"Univ Sydney,Q CTRL Pty Ltd"
10.1002/qute.201800067,"Univ Maryland,CNR,Univ Firenze,US Army Res Lab"
10.1103/PhysRevLett.111.230507,"Tel Aviv Univ,Aarhus Univ,Hebrew Univ Jerusalem"
10.1103/PhysRevA.110.L030202,"Charles Univ Prague,Palacky Univ"
10.1103/PhysRevLett.119.040501,"Univ Basque Country,Univ Massachusetts,Univ Geneva,IKERBASQUE"
10.1088/1367-2630/13/8/085007,"Univ Innsbruck,Austrian Acad Sci,Univ Complutense,Leibniz Univ Hannover,Natl Univ Def Technol"
10.1063/5.0073136,"Griffith Univ,Univ Queensland,Austrian Acad Sci,Univ Innsbruck"
10.1038/s41467-022-35285-3,"Univ Sussex,Universal Quantum Ltd,UCL,Univ Bristol"
10.1103/PhysRevLett.127.143201,"Tsinghua Univ,Peking Univ,Beijing Acad Quantum Informat Sci,Harvard Univ"
10.1103/PRXQuantum.3.010344,"MIT,Duke Univ"
10.1364/PRJ.434217,"Beijing Computat Sci Res Ctr,Anhui Univ,Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Capital Normal Univ"
10.3390/sym13122243,"Prince Sattam Bin Abdulaziz Univ,Assiut Univ,South Valley Univ,Univ Sharjah,Abu Dhabi Univ,Texas A&M Univ"
10.1038/s41565-021-00925-0,"RIKEN,Tokyo Tech Acad Super Smart Soc"
10.1038/NPHYS3515,"Univ Calif Berkeley,Tech Univ Kaiserslautern"
10.1557/mrs.2020.147,"Univ Maryland,Lawrence Livermore Natl Lab,Sandia Natl Labs,NYU"
10.1103/PhysRevB.81.134514,"Bayer Akad Wissensch,Univ Munich,Tech Univ Munich,MATIS INFM,DMFCI,Univ Regensburg,Univ Basque Country,Basque Fdn Sci"
10.1038/s41567-023-02102-7,"Duke Univ,Univ Maryland,IonQ Inc"
10.1103/PhysRevA.99.022330,"Swansea Univ,Univ Costa Rica,CSIC,Univ Complutense Madrid"
10.1103/PRXQuantum.4.020358,"Duke Univ,Univ Calif Los Angeles"
10.1103/PhysRevB.95.144306,"SUNY Stony Brook,Univ Calif Irvine,Shenzhen Univ,Chinese Acad Sci"
10.1103/RevModPhys.89.035002,"Swiss Fed Inst Technol,Tech Univ Munich,MIT"
10.1016/j.optcom.2017.04.011,"Univ Fed Pernambuco,Univ Sao Paulo,Amer Phys Soc"
10.1103/PhysRevA.108.L010401,"Korea Adv Inst Sci & Technol KAIST,Korea Univ"
10.1103/PhysRevLett.106.140502,"Harvard Univ,MIT,Univ Copenhagen,CALTECH"
10.1088/1751-8121/acc8a2,"Chouaib Doukkali Univ,Canadian Quantum Res Ctr"
10.1103/PhysRevA.98.052334,"Univ Maryland,Intel Corp,IonQ Inc"
10.1209/0295-5075/92/30006,"Johannes Gutenberg Univ Mainz,Univ Sofia"
10.1088/2058-9565/ac1c41,"Colorado Sch Mines,Univ Texas Austin,CALTECH,Harvard Smithsonian Ctr Astrophys,Harvard Univ,MIT,Univ Maryland,Univ Calif Berkeley,Brookhaven Natl Lab,Univ Padua,Ist Nazl Fis Nucl INFN,Univ Saarland"
10.1103/PhysRevA.109.022615,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1038/s41467-017-01895-5,"Univ Innsbruck,Austrian Acad Sci,Harvard Univ,Univ Copenhagen"
10.3390/photonics10101170,"Inst Politecn Nacl,Univ Autonoma Metropolitana Iztapalapa"
10.1088/1367-2630/18/9/093038,"Australian Natl Univ,Univ Innsbruck,Palacky Univ,Austrian Acad Sci"
10.1063/5.0173126,"Natl Univ Singapore,Agcy Sci Technol & Res"
10.1103/PhysRevA.105.022623,"Univ Arizona,Univ Maryland,Univ Pittsburgh"
10.1103/PhysRevA.101.012302,"Rigetti Comp,Google,Atom Comp,Microsoft,IBM Quantum"
10.1016/j.optlastec.2021.107190,"Xiangtan Univ,China Gen Technol Res Inst,Masaryk Univ,Jinan Univ,South China Agr Univ"
10.1103/PRXQuanttun.2.020331,"Austrian Acad Sci,Univ Innsbruck"
10.1103/PhysRevA.95.022305,"Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1126/science.1208001,"Austrian Acad Sci,Univ Innsbruck"
10.1126/science.1203329,"Univ Innsbruck,Austrian Acad Sci"
10.1103/PhysRevLett.133.050203,"Univ Fed Sao Carlos,CSIC,Univ Milan,INFN Sez Milano,Univ Cote Azur"
10.1016/j.physleta.2020.126266,"CNR,ENS Paris Saclay,Politecn Milan"
10.1021/acsphotonics.3c00581,"Univ Maryland,US Army"
10.1103/PhysRevA.110.022607,"Univ Colorado,JILA,Natl Inst Stand & Technol"
10.1103/PhysRevA.89.032301,"US Army Res Lab,Univ Complutense,Natl Univ Ireland"
10.1007/s11467-023-1322-2,"Anqing Normal Univ,South China Normal Univ"
10.1103/PhysRevA.106.012405,"Chuo Univ,Sanyo Onoda City Univ,NTT Corp"
10.1038/s41567-022-01658-0,"Univ Innsbruck,Austrian Acad Sci,Alpine Quantum Technol GmbH"
10.1002/qute.201800043,"Univ St Andrews,TU Wien,Bar Ilan Univ"
10.1007/s11128-014-0787-x,"Univ Toulouse 3,Univ Sci & Technol,Sohag Univ,Western Michigan Univ"
10.1103/PhysRevX.8.031022,"Austrian Acad Sci,Univ Innsbruck,Univ Sydney,Harvard Univ,Google Inc,Tufts Univ"
10.1140/epjqt/s40507-021-00105-y,"Univ Lisbon,Phys Informat & Quantum Technol Grp,Aalto Univ"
10.1088/2058-9565/acb3f1,"Duke Univ,IonQ,Univ Maryland"
10.1140/epjqt/s40507-024-00250-0,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1088/2058-9565/ac84a3,"Tsinghua Univ,Beijing Acad Quantum Informat Sci,Frontier Sci Ctr Quantum Informat"
10.1038/s41567-021-01237-9,"NIST,Univ Colorado,Texas A&M Univ,Univ Oregon,Stanford Univ,Univ Oxford,Southern Illinois Univ"
10.1103/PhysRevA.110.033116,"Oxford Ion Ltd,Quantinuum"
10.1088/1674-1056/ad8a49,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1103/PhysRevA.94.042308,"Univ Maryland,NIST,Indiana Univ,Lockheed Martin Corp"
10.1002/qute.202300007,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1103/PhysRevA.107.032413,"Univ Oregon,Univ Calif Los Angeles"
10.1103/PRXQuantum.4.030311,"Duke Univ,IonQ Inc"
10.1103/PhysRevA.105.022437,"Univ Texas San Antonio,Univ Calif Berkeley,Lawrence Livermore Natl Lab,Lawrence Berkeley Natl Lab"
10.1038/s41586-021-04182-y,"RIKEN,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevX.7.031049,"Univ Innsbruck A,Austrian Acad Sci,Natl Univ Singapore,Univ Oxford,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Max Planck Inst Quantum Opt"
10.1038/srep01180,"RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1038/s41534-023-00737-1,"Sandia Natl Labs,MITRE Corp,MIT,Univ Arizona"
10.1103/PhysRevA.105.L010402,"Univ Calif Santa Barbara,Ctr Astrophys Harvard & Smithsonian,Harvard Univ"
10.1038/s41534-017-0017-3,"Raytheon BBN Technol,IBM TJ Watson Res Ctr"
10.1103/PhysRevApplied.20.014024,"Univ Basque Country UPV EHU,Kipu Quantum,Shanghai Univ,Basque Fdn Sci"
10.1103/PhysRevX.11.031049,"Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1103/PhysRevA.109.032412,"Czech Acad Sci,Charles Univ Prague,Palacky Univ"
10.1103/PhysRevApplied.11.024010,"MIT,Honeywell"
10.1088/2058-9565/aa7983,"Univ Basel,Univ Innsbruck,Austrian Acad Sci"
10.1103/PhysRevE.99.042121,"Koc Univ,Palacy Univ,Weizmann Inst Sci"
10.1016/j.physleta.2022.128370,"PN Lebedev Phys Inst,Russian Quantum Ctr"
10.1103/PhysRevA.87.032325,"Univ Basque Country,Univ Santiago Chile,Ctr Dev Nanosci & Nanotechnol,Austrian Acad Sci,Univ Liege,Basque Fdn Sci"
10.1088/2058-9565/aaef5e,"Univ Siegen,Univ Innsbruck,Max Planck Inst Quantum Opt,Univ Konstanz,Heinrich Heine Univ Dusseldorf,Austrian Acad Sci,Leiden Univ"
10.1038/NNANO.2013.117,"UCL,Univ Oxford,Princeton Univ,Inst Crystal Growth,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1103/PhysRevLett.122.030501,"US Army,IREAP,Georgia Tech Res Inst,Univ Massachusetts,Louisiana State Univ,NIST,Univ Maryland"
10.1038/s41586-019-1427-5,"Univ Maryland,Natl Sci Fdn,IonQ Inc,Honeywell,IBM Thomas J Watson Res Ctr"
10.1088/1367-2630/ad19f9,"Quantinuum,Univ Texas San Antonio"
10.1103/PhysRevA.107.062406,"Oak Ridge Natl Lab,Georgia Tech Res Inst"
10.1007/s11128-019-2492-2,"Hunan Normal Univ,Hunan Inst Sci & Technol"
10.1364/OE.24.016638,"Griffith Univ,Australian Natl Univ"
10.1038/NPHYS1781,"Univ Innsbruck,Austrian Acad Sci,Univ Siegen"
10.1088/1367-2630/abbab6,"CSIC,Univ Carlos III Madrid,Austrian Acad Sci,Univ Innsbruck"
10.1103/PhysRevA.102.012429,"Univ Fed Rio Grande do Norte,CNR INO,LENS"
10.1103/PhysRevA.85.040302,"Univ Ulm,Phys Tech Bundesanstalt,Univ Hannover"
10.1038/s41467-017-02298-2,"Univ Sydney,Natl Measurement Inst,Dartmouth Coll,Johns Hopkins Univ"
10.1016/j.ijms.2024.117217,"St Pauls Cathedral Mission Coll,Natl Univ Singapore,ASTAR"
10.1103/PhysRevA.93.013412,"Univ Maryland,NIST"
10.1103/PhysRevA.103.032224,"Aix Marseille Univ,Ecole Normale Super"
10.1103/PhysRevA.85.022511,"CSIC,Univ Complutense,Univ Waterloo"
10.22331/q-2023-05-31-1024,"Palacky Univ,Tech Univ Denmark"
10.1103/PhysRevB.105.L140301,"Univ Chicago,Lab Phys Sci"
10.1039/d3cp02322b,"Huazhong Normal Univ,Chinese Acad Sci,Hubei Minzu Univ,Hunan Univ"
10.1088/2058-9565/ab1a71,"Colorado Sch Mines,Ludwig Maximilians Univ Munchen"
